Dataset = ogbn-products, batch_size = 65536
Layer_1 130084 | Layer_2 176983 | Layer_3 224956
Epoch 00000 | Loss 6.1156 | Accuracy 0.3146 | Time : 1.0292 | Loop_Time : 0.0701 | Model_Time : 0.9590 | x_y_time : 0.0001 | pred_time : 0.9202 | backward_time : 0.0302 | optim_time : 0.0034 
Epoch 00001 | Loss 4.0336 | Accuracy 0.3998 | Time : 0.0880 | Loop_Time : 0.0174 | Model_Time : 0.0706 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0305 | optim_time : 0.0023 
Epoch 00002 | Loss 3.1410 | Accuracy 0.5427 | Time : 0.0881 | Loop_Time : 0.0171 | Model_Time : 0.0710 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0313 | optim_time : 0.0023 
Epoch 00003 | Loss 2.6672 | Accuracy 0.5776 | Time : 0.0886 | Loop_Time : 0.0168 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0325 | optim_time : 0.0023 
Epoch 00004 | Loss 2.2765 | Accuracy 0.6008 | Time : 0.0886 | Loop_Time : 0.0167 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0328 | optim_time : 0.0023 
Epoch 00005 | Loss 1.9657 | Accuracy 0.6477 | Time : 0.0888 | Loop_Time : 0.0168 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0026 
Epoch 00006 | Loss 1.7923 | Accuracy 0.6893 | Time : 0.0886 | Loop_Time : 0.0167 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0329 | optim_time : 0.0024 
Epoch 00007 | Loss 1.6037 | Accuracy 0.7160 | Time : 0.0884 | Loop_Time : 0.0166 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0315 | backward_time : 0.0329 | optim_time : 0.0026 
Epoch 00008 | Loss 1.5022 | Accuracy 0.7324 | Time : 0.0887 | Loop_Time : 0.0167 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0329 | optim_time : 0.0023 
Epoch 00009 | Loss 1.4067 | Accuracy 0.7475 | Time : 0.0891 | Loop_Time : 0.0170 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0024 
Epoch 00010 | Loss 1.3035 | Accuracy 0.7625 | Time : 0.0885 | Loop_Time : 0.0166 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0331 | optim_time : 0.0025 
Epoch 00011 | Loss 1.2164 | Accuracy 0.7745 | Time : 0.0887 | Loop_Time : 0.0168 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0328 | optim_time : 0.0024 
Epoch 00012 | Loss 1.1473 | Accuracy 0.7875 | Time : 0.0885 | Loop_Time : 0.0166 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0328 | optim_time : 0.0023 
Epoch 00013 | Loss 1.1101 | Accuracy 0.7970 | Time : 0.0882 | Loop_Time : 0.0164 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0026 
Epoch 00014 | Loss 1.0536 | Accuracy 0.8033 | Time : 0.0882 | Loop_Time : 0.0164 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0328 | optim_time : 0.0023 
Epoch 00015 | Loss 1.0143 | Accuracy 0.8090 | Time : 0.0883 | Loop_Time : 0.0165 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0315 | backward_time : 0.0329 | optim_time : 0.0026 
Epoch 00016 | Loss 0.9585 | Accuracy 0.8124 | Time : 0.0885 | Loop_Time : 0.0167 | Model_Time : 0.0717 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0328 | optim_time : 0.0025 
Epoch 00017 | Loss 0.9451 | Accuracy 0.8168 | Time : 0.0887 | Loop_Time : 0.0167 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0329 | optim_time : 0.0027 
Epoch 00018 | Loss 0.8993 | Accuracy 0.8210 | Time : 0.0887 | Loop_Time : 0.0167 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0024 
Epoch 00019 | Loss 0.8853 | Accuracy 0.8235 | Time : 0.0884 | Loop_Time : 0.0165 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0023 
Epoch 00020 | Loss 0.8679 | Accuracy 0.8257 | Time : 0.0886 | Loop_Time : 0.0166 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0023 
Epoch 00021 | Loss 0.8431 | Accuracy 0.8281 | Time : 0.0885 | Loop_Time : 0.0165 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0328 | optim_time : 0.0023 
Epoch 00022 | Loss 0.8347 | Accuracy 0.8296 | Time : 0.0884 | Loop_Time : 0.0166 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0328 | optim_time : 0.0023 
Epoch 00023 | Loss 0.8148 | Accuracy 0.8320 | Time : 0.0883 | Loop_Time : 0.0163 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0026 
Epoch 00024 | Loss 0.7844 | Accuracy 0.8343 | Time : 0.0881 | Loop_Time : 0.0163 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0328 | optim_time : 0.0026 
Epoch 00025 | Loss 0.7685 | Accuracy 0.8368 | Time : 0.0882 | Loop_Time : 0.0165 | Model_Time : 0.0717 | x_y_time : 0.0000 | pred_time : 0.0315 | backward_time : 0.0328 | optim_time : 0.0023 
Epoch 00026 | Loss 0.7595 | Accuracy 0.8386 | Time : 0.0886 | Loop_Time : 0.0164 | Model_Time : 0.0721 | x_y_time : 0.0000 | pred_time : 0.0318 | backward_time : 0.0329 | optim_time : 0.0027 
Epoch 00027 | Loss 0.7330 | Accuracy 0.8396 | Time : 0.0888 | Loop_Time : 0.0168 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0023 
Epoch 00028 | Loss 0.7302 | Accuracy 0.8407 | Time : 0.0884 | Loop_Time : 0.0165 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0025 
Epoch 00029 | Loss 0.7200 | Accuracy 0.8428 | Time : 0.0883 | Loop_Time : 0.0164 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0330 | optim_time : 0.0023 
Epoch 00030 | Loss 0.7236 | Accuracy 0.8448 | Time : 0.0884 | Loop_Time : 0.0164 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0023 
Epoch 00031 | Loss 0.6864 | Accuracy 0.8459 | Time : 0.0883 | Loop_Time : 0.0165 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0027 
Epoch 00032 | Loss 0.6856 | Accuracy 0.8478 | Time : 0.0882 | Loop_Time : 0.0164 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0028 
Epoch 00033 | Loss 0.6785 | Accuracy 0.8491 | Time : 0.0885 | Loop_Time : 0.0166 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0024 
Epoch 00034 | Loss 0.6643 | Accuracy 0.8502 | Time : 0.0883 | Loop_Time : 0.0163 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0328 | optim_time : 0.0026 
Epoch 00035 | Loss 0.6603 | Accuracy 0.8514 | Time : 0.0886 | Loop_Time : 0.0167 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0328 | optim_time : 0.0026 
Epoch 00036 | Loss 0.6572 | Accuracy 0.8524 | Time : 0.0883 | Loop_Time : 0.0164 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0023 
Epoch 00037 | Loss 0.6363 | Accuracy 0.8533 | Time : 0.0885 | Loop_Time : 0.0164 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0329 | optim_time : 0.0023 
Epoch 00038 | Loss 0.6279 | Accuracy 0.8538 | Time : 0.0883 | Loop_Time : 0.0163 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0330 | optim_time : 0.0026 
Epoch 00039 | Loss 0.6372 | Accuracy 0.8551 | Time : 0.0884 | Loop_Time : 0.0166 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0315 | backward_time : 0.0329 | optim_time : 0.0028 
Epoch 00040 | Loss 0.6264 | Accuracy 0.8556 | Time : 0.0884 | Loop_Time : 0.0165 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0328 | optim_time : 0.0025 
Epoch 00041 | Loss 0.6215 | Accuracy 0.8566 | Time : 0.0885 | Loop_Time : 0.0166 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0328 | optim_time : 0.0023 
Epoch 00042 | Loss 0.6094 | Accuracy 0.8575 | Time : 0.0885 | Loop_Time : 0.0165 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0026 
Epoch 00043 | Loss 0.6059 | Accuracy 0.8584 | Time : 0.0886 | Loop_Time : 0.0166 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0329 | optim_time : 0.0027 
Epoch 00044 | Loss 0.5928 | Accuracy 0.8593 | Time : 0.0888 | Loop_Time : 0.0169 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0027 
Epoch 00045 | Loss 0.5924 | Accuracy 0.8597 | Time : 0.0885 | Loop_Time : 0.0166 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0328 | optim_time : 0.0023 
Epoch 00046 | Loss 0.5950 | Accuracy 0.8603 | Time : 0.0883 | Loop_Time : 0.0163 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0023 
Epoch 00047 | Loss 0.5801 | Accuracy 0.8607 | Time : 0.0885 | Loop_Time : 0.0165 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0025 
Epoch 00048 | Loss 0.5649 | Accuracy 0.8613 | Time : 0.0884 | Loop_Time : 0.0164 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0329 | optim_time : 0.0024 
Epoch 00049 | Loss 0.5667 | Accuracy 0.8624 | Time : 0.0885 | Loop_Time : 0.0166 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0328 | optim_time : 0.0023 
Epoch 00050 | Loss 0.5735 | Accuracy 0.8623 | Time : 0.0883 | Loop_Time : 0.0164 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0027 
Epoch 00051 | Loss 0.5722 | Accuracy 0.8628 | Time : 0.0884 | Loop_Time : 0.0165 | Model_Time : 0.0719 | x_y_time : 0.0001 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0026 
Epoch 00052 | Loss 0.5552 | Accuracy 0.8633 | Time : 0.0885 | Loop_Time : 0.0165 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0023 
Epoch 00053 | Loss 0.5578 | Accuracy 0.8640 | Time : 0.0889 | Loop_Time : 0.0169 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0025 
Epoch 00054 | Loss 0.5468 | Accuracy 0.8646 | Time : 0.0885 | Loop_Time : 0.0166 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0328 | optim_time : 0.0023 
Epoch 00055 | Loss 0.5312 | Accuracy 0.8648 | Time : 0.0886 | Loop_Time : 0.0167 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0315 | backward_time : 0.0329 | optim_time : 0.0024 
Epoch 00056 | Loss 0.5405 | Accuracy 0.8651 | Time : 0.0887 | Loop_Time : 0.0167 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0329 | optim_time : 0.0023 
Epoch 00057 | Loss 0.5306 | Accuracy 0.8651 | Time : 0.0886 | Loop_Time : 0.0165 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0331 | optim_time : 0.0027 
Epoch 00058 | Loss 0.5340 | Accuracy 0.8654 | Time : 0.0885 | Loop_Time : 0.0166 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0328 | optim_time : 0.0024 
Epoch 00059 | Loss 0.5298 | Accuracy 0.8660 | Time : 0.0882 | Loop_Time : 0.0162 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0328 | optim_time : 0.0026 
Epoch 00060 | Loss 0.5322 | Accuracy 0.8664 | Time : 0.0885 | Loop_Time : 0.0164 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0329 | optim_time : 0.0026 
Epoch 00061 | Loss 0.5348 | Accuracy 0.8667 | Time : 0.0885 | Loop_Time : 0.0165 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0329 | optim_time : 0.0024 
Epoch 00062 | Loss 0.5231 | Accuracy 0.8668 | Time : 0.0889 | Loop_Time : 0.0170 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0024 
Epoch 00063 | Loss 0.5311 | Accuracy 0.8674 | Time : 0.0889 | Loop_Time : 0.0170 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0330 | optim_time : 0.0029 
Epoch 00064 | Loss 0.5097 | Accuracy 0.8675 | Time : 0.0887 | Loop_Time : 0.0168 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0328 | optim_time : 0.0023 
Epoch 00065 | Loss 0.5150 | Accuracy 0.8678 | Time : 0.0884 | Loop_Time : 0.0164 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0024 
Epoch 00066 | Loss 0.5124 | Accuracy 0.8684 | Time : 0.0886 | Loop_Time : 0.0165 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0330 | optim_time : 0.0025 
Epoch 00067 | Loss 0.5087 | Accuracy 0.8693 | Time : 0.0884 | Loop_Time : 0.0165 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0026 
Epoch 00068 | Loss 0.5035 | Accuracy 0.8696 | Time : 0.0884 | Loop_Time : 0.0165 | Model_Time : 0.0719 | x_y_time : 0.0001 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0024 
Epoch 00069 | Loss 0.5035 | Accuracy 0.8694 | Time : 0.0886 | Loop_Time : 0.0166 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0024 
Epoch 00070 | Loss 0.5019 | Accuracy 0.8696 | Time : 0.0889 | Loop_Time : 0.0170 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0315 | backward_time : 0.0328 | optim_time : 0.0023 
Epoch 00071 | Loss 0.4942 | Accuracy 0.8703 | Time : 0.0886 | Loop_Time : 0.0167 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0328 | optim_time : 0.0024 
Epoch 00072 | Loss 0.5020 | Accuracy 0.8706 | Time : 0.0884 | Loop_Time : 0.0165 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0023 
Epoch 00073 | Loss 0.4879 | Accuracy 0.8714 | Time : 0.0882 | Loop_Time : 0.0164 | Model_Time : 0.0718 | x_y_time : 0.0000 | pred_time : 0.0315 | backward_time : 0.0329 | optim_time : 0.0023 
Epoch 00074 | Loss 0.4875 | Accuracy 0.8716 | Time : 0.0890 | Loop_Time : 0.0170 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0329 | optim_time : 0.0025 
Epoch 00075 | Loss 0.4907 | Accuracy 0.8718 | Time : 0.0889 | Loop_Time : 0.0168 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0332 | optim_time : 0.0023 
Epoch 00076 | Loss 0.4867 | Accuracy 0.8722 | Time : 0.0884 | Loop_Time : 0.0165 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0025 
Epoch 00077 | Loss 0.4868 | Accuracy 0.8728 | Time : 0.0888 | Loop_Time : 0.0168 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0327 | optim_time : 0.0023 
Epoch 00078 | Loss 0.4831 | Accuracy 0.8727 | Time : 0.0903 | Loop_Time : 0.0180 | Model_Time : 0.0723 | x_y_time : 0.0000 | pred_time : 0.0319 | backward_time : 0.0327 | optim_time : 0.0025 
Epoch 00079 | Loss 0.4806 | Accuracy 0.8723 | Time : 0.0894 | Loop_Time : 0.0173 | Model_Time : 0.0721 | x_y_time : 0.0000 | pred_time : 0.0318 | backward_time : 0.0327 | optim_time : 0.0024 
Epoch 00080 | Loss 0.4876 | Accuracy 0.8730 | Time : 0.0890 | Loop_Time : 0.0169 | Model_Time : 0.0720 | x_y_time : 0.0000 | pred_time : 0.0318 | backward_time : 0.0327 | optim_time : 0.0024 
Epoch 00081 | Loss 0.4794 | Accuracy 0.8735 | Time : 0.0884 | Loop_Time : 0.0165 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0329 | optim_time : 0.0027 
Epoch 00082 | Loss 0.4722 | Accuracy 0.8736 | Time : 0.0884 | Loop_Time : 0.0163 | Model_Time : 0.0721 | x_y_time : 0.0000 | pred_time : 0.0317 | backward_time : 0.0328 | optim_time : 0.0023 
Epoch 00083 | Loss 0.4749 | Accuracy 0.8732 | Time : 0.0885 | Loop_Time : 0.0166 | Model_Time : 0.0719 | x_y_time : 0.0000 | pred_time : 0.0316 | backward_time : 0.0328 | optim_time : 0.0024 
