Dataset = yelp, batch_size = 16384
Layer_1 126190 | Layer_2 385820 | Layer_3 575250
Epoch 00000 | Loss 0.6146 | Accuracy 0.9101| f1_micro 0.1456 | f1_macro 0.0099 | Time : 3.4217 | Loop_Time : 0.2992 | Model_Time : 3.1225 | x_y_time : 0.0010 | pred_time : 2.1094 | backward_time : 0.8668 | optim_time : 0.0293 
Epoch 00001 | Loss 0.3002 | Accuracy 0.9109| f1_micro 0.1426 | f1_macro 0.0087 | Time : 2.2223 | Loop_Time : 0.2809 | Model_Time : 1.9412 | x_y_time : 0.0004 | pred_time : 0.9243 | backward_time : 0.8721 | optim_time : 0.0244 
Epoch 00002 | Loss 0.2774 | Accuracy 0.9116| f1_micro 0.1438 | f1_macro 0.0099 | Time : 2.2303 | Loop_Time : 0.2848 | Model_Time : 1.9454 | x_y_time : 0.0005 | pred_time : 0.9270 | backward_time : 0.8737 | optim_time : 0.0274 
Epoch 00003 | Loss 0.2658 | Accuracy 0.9133| f1_micro 0.1856 | f1_macro 0.0200 | Time : 2.2307 | Loop_Time : 0.2967 | Model_Time : 1.9339 | x_y_time : 0.0005 | pred_time : 0.9165 | backward_time : 0.8726 | optim_time : 0.0284 
Epoch 00004 | Loss 0.2574 | Accuracy 0.9148| f1_micro 0.2174 | f1_macro 0.0279 | Time : 2.2262 | Loop_Time : 0.2798 | Model_Time : 1.9462 | x_y_time : 0.0005 | pred_time : 0.9269 | backward_time : 0.8744 | optim_time : 0.0266 
Epoch 00005 | Loss 0.2506 | Accuracy 0.9161| f1_micro 0.2456 | f1_macro 0.0352 | Time : 2.2180 | Loop_Time : 0.2914 | Model_Time : 1.9265 | x_y_time : 0.0005 | pred_time : 0.9172 | backward_time : 0.8639 | optim_time : 0.0292 
Epoch 00006 | Loss 0.2456 | Accuracy 0.9172| f1_micro 0.2714 | f1_macro 0.0451 | Time : 2.2269 | Loop_Time : 0.2776 | Model_Time : 1.9492 | x_y_time : 0.0005 | pred_time : 0.9288 | backward_time : 0.8748 | optim_time : 0.0290 
Epoch 00007 | Loss 0.2418 | Accuracy 0.9178| f1_micro 0.2769 | f1_macro 0.0489 | Time : 2.2348 | Loop_Time : 0.2874 | Model_Time : 1.9473 | x_y_time : 0.0004 | pred_time : 0.9270 | backward_time : 0.8738 | optim_time : 0.0242 
Epoch 00008 | Loss 0.2390 | Accuracy 0.9186| f1_micro 0.2905 | f1_macro 0.0558 | Time : 2.2342 | Loop_Time : 0.2830 | Model_Time : 1.9510 | x_y_time : 0.0004 | pred_time : 0.9293 | backward_time : 0.8753 | optim_time : 0.0257 
Epoch 00009 | Loss 0.2371 | Accuracy 0.9197| f1_micro 0.3210 | f1_macro 0.0694 | Time : 2.2436 | Loop_Time : 0.2903 | Model_Time : 1.9531 | x_y_time : 0.0005 | pred_time : 0.9290 | backward_time : 0.8768 | optim_time : 0.0266 
Epoch 00010 | Loss 0.2359 | Accuracy 0.9195| f1_micro 0.3052 | f1_macro 0.0633 | Time : 2.2311 | Loop_Time : 0.2916 | Model_Time : 1.9393 | x_y_time : 0.0005 | pred_time : 0.9214 | backward_time : 0.8711 | optim_time : 0.0264 
