Dataset = yelp, batch_size = 2048
Layer_1 19667 | Layer_2 124157 | Layer_3 359158
Epoch 00000 | Loss 0.3228 | Accuracy 0.9170| f1_micro 0.2762 | f1_macro 0.0438 | Time : 9.6350 | Loop_Time : 1.6922 | Model_Time : 7.9423 | x_y_time : 0.0077 | pred_time : 4.5515 | backward_time : 2.5541 | optim_time : 0.2186 
Epoch 00001 | Loss 0.2386 | Accuracy 0.9201| f1_micro 0.3212 | f1_macro 0.0723 | Time : 7.8811 | Loop_Time : 1.5349 | Model_Time : 6.3458 | x_y_time : 0.0036 | pred_time : 2.9950 | backward_time : 2.5272 | optim_time : 0.2088 
Epoch 00002 | Loss 0.2324 | Accuracy 0.9203| f1_micro 0.3155 | f1_macro 0.0696 | Time : 7.9857 | Loop_Time : 1.5861 | Model_Time : 6.3991 | x_y_time : 0.0036 | pred_time : 3.0136 | backward_time : 2.5491 | optim_time : 0.2165 
Epoch 00003 | Loss 0.2289 | Accuracy 0.9215| f1_micro 0.3528 | f1_macro 0.0880 | Time : 9.4482 | Loop_Time : 1.8843 | Model_Time : 7.5634 | x_y_time : 0.0034 | pred_time : 3.6030 | backward_time : 2.9956 | optim_time : 0.2087 
Epoch 00004 | Loss 0.2272 | Accuracy 0.9211| f1_micro 0.3318 | f1_macro 0.0794 | Time : 7.8389 | Loop_Time : 1.4706 | Model_Time : 6.3679 | x_y_time : 0.0033 | pred_time : 3.0180 | backward_time : 2.5054 | optim_time : 0.2016 
Epoch 00005 | Loss 0.2258 | Accuracy 0.9225| f1_micro 0.4062 | f1_macro 0.1198 | Time : 7.9195 | Loop_Time : 1.5072 | Model_Time : 6.4118 | x_y_time : 0.0035 | pred_time : 3.0106 | backward_time : 2.5532 | optim_time : 0.2091 
Epoch 00006 | Loss 0.2254 | Accuracy 0.9209| f1_micro 0.3238 | f1_macro 0.0741 | Time : 8.0069 | Loop_Time : 1.5978 | Model_Time : 6.4086 | x_y_time : 0.0037 | pred_time : 3.0341 | backward_time : 2.5250 | optim_time : 0.2127 
Epoch 00007 | Loss 0.2241 | Accuracy 0.9223| f1_micro 0.3657 | f1_macro 0.0968 | Time : 8.2167 | Loop_Time : 1.6231 | Model_Time : 6.5931 | x_y_time : 0.0038 | pred_time : 3.0261 | backward_time : 2.7068 | optim_time : 0.2247 
Epoch 00008 | Loss 0.2233 | Accuracy 0.9229| f1_micro 0.4076 | f1_macro 0.1218 | Time : 7.9091 | Loop_Time : 1.5042 | Model_Time : 6.4044 | x_y_time : 0.0035 | pred_time : 3.0160 | backward_time : 2.5554 | optim_time : 0.2094 
Epoch 00009 | Loss 0.2226 | Accuracy 0.9226| f1_micro 0.3865 | f1_macro 0.1078 | Time : 8.0583 | Loop_Time : 1.6003 | Model_Time : 6.4575 | x_y_time : 0.0037 | pred_time : 3.0307 | backward_time : 2.5777 | optim_time : 0.2148 
Epoch 00010 | Loss 0.2229 | Accuracy 0.9189| f1_micro 0.2687 | f1_macro 0.0571 | Time : 7.9888 | Loop_Time : 1.5859 | Model_Time : 6.4025 | x_y_time : 0.0036 | pred_time : 3.0287 | backward_time : 2.5338 | optim_time : 0.2041 
Epoch 00011 | Loss 0.2223 | Accuracy 0.9223| f1_micro 0.3637 | f1_macro 0.0974 | Time : 7.9882 | Loop_Time : 1.5883 | Model_Time : 6.3994 | x_y_time : 0.0036 | pred_time : 3.0255 | backward_time : 2.5241 | optim_time : 0.2070 
