Dataset = yelp, batch_size = 1024
Layer_1 11587 | Layer_2 99918 | Layer_3 355070
Epoch 00000 | Loss 0.2756 | Accuracy 0.9197| f1_micro 0.3179 | f1_macro 0.0672 | Time : 12.9850 | Loop_Time : 2.0016 | Model_Time : 10.9829 | x_y_time : 0.0113 | pred_time : 5.3235 | backward_time : 4.3666 | optim_time : 0.3555 
Epoch 00001 | Loss 0.2332 | Accuracy 0.9198| f1_micro 0.3029 | f1_macro 0.0644 | Time : 12.1048 | Loop_Time : 1.9795 | Model_Time : 10.1248 | x_y_time : 0.0055 | pred_time : 4.4288 | backward_time : 4.3913 | optim_time : 0.3504 
Epoch 00002 | Loss 0.2284 | Accuracy 0.9206| f1_micro 0.3183 | f1_macro 0.0749 | Time : 12.1376 | Loop_Time : 1.9789 | Model_Time : 10.1581 | x_y_time : 0.0055 | pred_time : 4.4463 | backward_time : 4.3889 | optim_time : 0.3534 
Epoch 00003 | Loss 0.2270 | Accuracy 0.9211| f1_micro 0.3475 | f1_macro 0.0838 | Time : 12.1844 | Loop_Time : 1.9610 | Model_Time : 10.2229 | x_y_time : 0.0054 | pred_time : 4.4800 | backward_time : 4.3939 | optim_time : 0.3479 
Epoch 00004 | Loss 0.2252 | Accuracy 0.9199| f1_micro 0.2993 | f1_macro 0.0679 | Time : 12.2765 | Loop_Time : 1.9779 | Model_Time : 10.2981 | x_y_time : 0.0055 | pred_time : 4.5142 | backward_time : 4.4080 | optim_time : 0.3512 
Epoch 00005 | Loss 0.2241 | Accuracy 0.9206| f1_micro 0.3155 | f1_macro 0.0736 | Time : 12.3618 | Loop_Time : 2.0725 | Model_Time : 10.2887 | x_y_time : 0.0054 | pred_time : 4.5087 | backward_time : 4.4039 | optim_time : 0.3457 
Epoch 00006 | Loss 0.2235 | Accuracy 0.9203| f1_micro 0.3068 | f1_macro 0.0708 | Time : 12.2558 | Loop_Time : 1.9612 | Model_Time : 10.2941 | x_y_time : 0.0054 | pred_time : 4.5114 | backward_time : 4.4043 | optim_time : 0.3448 
Epoch 00007 | Loss 0.2231 | Accuracy 0.9225| f1_micro 0.3827 | f1_macro 0.1080 | Time : 12.2492 | Loop_Time : 1.9528 | Model_Time : 10.2958 | x_y_time : 0.0054 | pred_time : 4.5131 | backward_time : 4.4039 | optim_time : 0.3406 
Epoch 00008 | Loss 0.2228 | Accuracy 0.9203| f1_micro 0.3034 | f1_macro 0.0713 | Time : 12.2818 | Loop_Time : 1.9871 | Model_Time : 10.2942 | x_y_time : 0.0055 | pred_time : 4.5152 | backward_time : 4.4022 | optim_time : 0.3486 
Epoch 00009 | Loss 0.2227 | Accuracy 0.9224| f1_micro 0.3705 | f1_macro 0.0986 | Time : 12.2738 | Loop_Time : 1.9778 | Model_Time : 10.2955 | x_y_time : 0.0055 | pred_time : 4.5138 | backward_time : 4.4051 | optim_time : 0.3466 
Epoch 00010 | Loss 0.2222 | Accuracy 0.9228| f1_micro 0.4058 | f1_macro 0.1216 | Time : 12.2537 | Loop_Time : 1.9692 | Model_Time : 10.2840 | x_y_time : 0.0055 | pred_time : 4.5099 | backward_time : 4.4022 | optim_time : 0.3472 
Epoch 00011 | Loss 0.2217 | Accuracy 0.9228| f1_micro 0.3892 | f1_macro 0.1123 | Time : 12.3095 | Loop_Time : 2.0185 | Model_Time : 10.2906 | x_y_time : 0.0057 | pred_time : 4.5146 | backward_time : 4.4057 | optim_time : 0.3601 
Epoch 00012 | Loss 0.2219 | Accuracy 0.9213| f1_micro 0.3306 | f1_macro 0.0871 | Time : 12.2410 | Loop_Time : 1.9609 | Model_Time : 10.2796 | x_y_time : 0.0054 | pred_time : 4.5059 | backward_time : 4.4047 | optim_time : 0.3463 
Epoch 00013 | Loss 0.2219 | Accuracy 0.9227| f1_micro 0.3934 | f1_macro 0.1120 | Time : 12.2663 | Loop_Time : 1.9849 | Model_Time : 10.2809 | x_y_time : 0.0055 | pred_time : 4.5083 | backward_time : 4.4060 | optim_time : 0.3550 
Epoch 00014 | Loss 0.2217 | Accuracy 0.9226| f1_micro 0.3817 | f1_macro 0.1060 | Time : 12.2446 | Loop_Time : 1.9755 | Model_Time : 10.2686 | x_y_time : 0.0055 | pred_time : 4.5045 | backward_time : 4.4012 | optim_time : 0.3499 
Epoch 00015 | Loss 0.2216 | Accuracy 0.9220| f1_micro 0.3545 | f1_macro 0.0910 | Time : 12.2753 | Loop_Time : 2.0013 | Model_Time : 10.2735 | x_y_time : 0.0056 | pred_time : 4.5058 | backward_time : 4.4042 | optim_time : 0.3582 
Epoch 00016 | Loss 0.2214 | Accuracy 0.9230| f1_micro 0.4173 | f1_macro 0.1286 | Time : 12.2376 | Loop_Time : 1.9751 | Model_Time : 10.2620 | x_y_time : 0.0055 | pred_time : 4.4984 | backward_time : 4.4026 | optim_time : 0.3543 
Epoch 00017 | Loss 0.2214 | Accuracy 0.9222| f1_micro 0.3573 | f1_macro 0.0970 | Time : 12.2230 | Loop_Time : 1.9699 | Model_Time : 10.2525 | x_y_time : 0.0055 | pred_time : 4.4967 | backward_time : 4.3969 | optim_time : 0.3508 
Epoch 00018 | Loss 0.2211 | Accuracy 0.9225| f1_micro 0.3857 | f1_macro 0.1060 | Time : 12.1566 | Loop_Time : 1.9642 | Model_Time : 10.1919 | x_y_time : 0.0055 | pred_time : 4.4939 | backward_time : 4.3398 | optim_time : 0.3542 
Epoch 00019 | Loss 0.2208 | Accuracy 0.9230| f1_micro 0.3933 | f1_macro 0.1128 | Time : 11.2818 | Loop_Time : 1.8534 | Model_Time : 9.4280 | x_y_time : 0.0050 | pred_time : 4.4899 | backward_time : 3.5319 | optim_time : 0.3456 
Epoch 00020 | Loss 0.2209 | Accuracy 0.9223| f1_micro 0.3666 | f1_macro 0.0962 | Time : 12.2246 | Loop_Time : 1.9724 | Model_Time : 10.2517 | x_y_time : 0.0055 | pred_time : 4.4938 | backward_time : 4.3985 | optim_time : 0.3636 
Epoch 00021 | Loss 0.2210 | Accuracy 0.9196| f1_micro 0.2871 | f1_macro 0.0625 | Time : 12.2283 | Loop_Time : 1.9793 | Model_Time : 10.2485 | x_y_time : 0.0055 | pred_time : 4.4966 | backward_time : 4.3973 | optim_time : 0.3572 
Epoch 00022 | Loss 0.2208 | Accuracy 0.9230| f1_micro 0.3935 | f1_macro 0.1140 | Time : 12.2258 | Loop_Time : 1.9813 | Model_Time : 10.2440 | x_y_time : 0.0055 | pred_time : 4.4969 | backward_time : 4.3938 | optim_time : 0.3530 
Epoch 00023 | Loss 0.2208 | Accuracy 0.9225| f1_micro 0.3608 | f1_macro 0.0992 | Time : 12.2327 | Loop_Time : 1.9831 | Model_Time : 10.2490 | x_y_time : 0.0055 | pred_time : 4.4991 | backward_time : 4.3967 | optim_time : 0.3520 
Epoch 00024 | Loss 0.2209 | Accuracy 0.9214| f1_micro 0.3399 | f1_macro 0.0823 | Time : 12.2245 | Loop_Time : 1.9804 | Model_Time : 10.2435 | x_y_time : 0.0055 | pred_time : 4.4957 | backward_time : 4.3961 | optim_time : 0.3530 
Epoch 00025 | Loss 0.2205 | Accuracy 0.9222| f1_micro 0.3597 | f1_macro 0.0960 | Time : 12.2229 | Loop_Time : 1.9814 | Model_Time : 10.2410 | x_y_time : 0.0055 | pred_time : 4.4950 | backward_time : 4.3951 | optim_time : 0.3529 
Epoch 00026 | Loss 0.2208 | Accuracy 0.9210| f1_micro 0.3196 | f1_macro 0.0804 | Time : 12.2219 | Loop_Time : 1.9824 | Model_Time : 10.2390 | x_y_time : 0.0055 | pred_time : 4.4938 | backward_time : 4.3945 | optim_time : 0.3452 
Epoch 00027 | Loss 0.2210 | Accuracy 0.9229| f1_micro 0.4038 | f1_macro 0.1137 | Time : 12.2141 | Loop_Time : 1.9768 | Model_Time : 10.2367 | x_y_time : 0.0055 | pred_time : 4.4911 | backward_time : 4.3962 | optim_time : 0.3529 
Epoch 00028 | Loss 0.2209 | Accuracy 0.9228| f1_micro 0.3885 | f1_macro 0.1090 | Time : 12.2033 | Loop_Time : 1.9708 | Model_Time : 10.2320 | x_y_time : 0.0055 | pred_time : 4.4875 | backward_time : 4.3959 | optim_time : 0.3472 
Epoch 00029 | Loss 0.2207 | Accuracy 0.9214| f1_micro 0.3353 | f1_macro 0.0818 | Time : 12.2007 | Loop_Time : 1.9721 | Model_Time : 10.2281 | x_y_time : 0.0055 | pred_time : 4.4854 | backward_time : 4.3937 | optim_time : 0.3484 
Epoch 00030 | Loss 0.2203 | Accuracy 0.9230| f1_micro 0.4042 | f1_macro 0.1161 | Time : 12.2038 | Loop_Time : 1.9707 | Model_Time : 10.2326 | x_y_time : 0.0055 | pred_time : 4.4873 | backward_time : 4.3974 | optim_time : 0.3538 
Epoch 00031 | Loss 0.2204 | Accuracy 0.9227| f1_micro 0.3836 | f1_macro 0.1036 | Time : 12.1954 | Loop_Time : 1.9679 | Model_Time : 10.2270 | x_y_time : 0.0055 | pred_time : 4.4851 | backward_time : 4.3940 | optim_time : 0.3511 
Epoch 00032 | Loss 0.2206 | Accuracy 0.9228| f1_micro 0.3711 | f1_macro 0.1058 | Time : 12.2021 | Loop_Time : 1.9724 | Model_Time : 10.2292 | x_y_time : 0.0055 | pred_time : 4.4862 | backward_time : 4.3948 | optim_time : 0.3494 
