Dataset = igb-small, batch_size = 65536
Layer_1 421691 | Layer_2 862090 | Layer_3 1053053
Epoch 00000 | Loss 2.1936 | Accuracy 0.4809 | Time : 2.4904 | Loop_Time : 0.1451 | Model_Time : 2.3453 | x_y_time : 0.0002 | pred_time : 1.6888 | backward_time : 0.5299 | optim_time : 0.0083 
Epoch 00001 | Loss 1.4164 | Accuracy 0.5801 | Time : 1.5362 | Loop_Time : 0.1298 | Model_Time : 1.4063 | x_y_time : 0.0001 | pred_time : 0.7484 | backward_time : 0.5310 | optim_time : 0.0071 
Epoch 00002 | Loss 1.1737 | Accuracy 0.6455 | Time : 1.5327 | Loop_Time : 0.1274 | Model_Time : 1.4053 | x_y_time : 0.0001 | pred_time : 0.7475 | backward_time : 0.5309 | optim_time : 0.0068 
Epoch 00003 | Loss 1.0387 | Accuracy 0.6791 | Time : 1.5393 | Loop_Time : 0.1308 | Model_Time : 1.4084 | x_y_time : 0.0001 | pred_time : 0.7494 | backward_time : 0.5321 | optim_time : 0.0069 
Epoch 00004 | Loss 0.9566 | Accuracy 0.6980 | Time : 1.5346 | Loop_Time : 0.1275 | Model_Time : 1.4070 | x_y_time : 0.0001 | pred_time : 0.7489 | backward_time : 0.5313 | optim_time : 0.0069 
Epoch 00005 | Loss 0.9028 | Accuracy 0.7036 | Time : 1.5410 | Loop_Time : 0.1308 | Model_Time : 1.4101 | x_y_time : 0.0001 | pred_time : 0.7508 | backward_time : 0.5324 | optim_time : 0.0070 
Epoch 00006 | Loss 0.8695 | Accuracy 0.7087 | Time : 1.5449 | Loop_Time : 0.1313 | Model_Time : 1.4136 | x_y_time : 0.0001 | pred_time : 0.7535 | backward_time : 0.5326 | optim_time : 0.0073 
Epoch 00007 | Loss 0.8483 | Accuracy 0.7126 | Time : 1.5493 | Loop_Time : 0.1344 | Model_Time : 1.4149 | x_y_time : 0.0001 | pred_time : 0.7536 | backward_time : 0.5335 | optim_time : 0.0071 
Epoch 00008 | Loss 0.8326 | Accuracy 0.7159 | Time : 1.5444 | Loop_Time : 0.1348 | Model_Time : 1.4096 | x_y_time : 0.0001 | pred_time : 0.7502 | backward_time : 0.5328 | optim_time : 0.0073 
Epoch 00009 | Loss 0.8208 | Accuracy 0.7187 | Time : 1.5422 | Loop_Time : 0.1299 | Model_Time : 1.4122 | x_y_time : 0.0001 | pred_time : 0.7524 | backward_time : 0.5327 | optim_time : 0.0076 
Epoch 00010 | Loss 0.8112 | Accuracy 0.7208 | Time : 1.5411 | Loop_Time : 0.1303 | Model_Time : 1.4107 | x_y_time : 0.0001 | pred_time : 0.7495 | backward_time : 0.5334 | optim_time : 0.0070 
Epoch 00011 | Loss 0.8032 | Accuracy 0.7235 | Time : 1.5425 | Loop_Time : 0.1299 | Model_Time : 1.4126 | x_y_time : 0.0001 | pred_time : 0.7515 | backward_time : 0.5335 | optim_time : 0.0068 
Epoch 00012 | Loss 0.7951 | Accuracy 0.7248 | Time : 1.5468 | Loop_Time : 0.1316 | Model_Time : 1.4151 | x_y_time : 0.0001 | pred_time : 0.7540 | backward_time : 0.5335 | optim_time : 0.0072 
Epoch 00013 | Loss 0.7900 | Accuracy 0.7261 | Time : 1.5532 | Loop_Time : 0.1359 | Model_Time : 1.4172 | x_y_time : 0.0001 | pred_time : 0.7543 | backward_time : 0.5347 | optim_time : 0.0076 
Epoch 00014 | Loss 0.7840 | Accuracy 0.7280 | Time : 1.5436 | Loop_Time : 0.1279 | Model_Time : 1.4156 | x_y_time : 0.0001 | pred_time : 0.7543 | backward_time : 0.5333 | optim_time : 0.0067 
Epoch 00015 | Loss 0.7786 | Accuracy 0.7290 | Time : 1.5544 | Loop_Time : 0.1342 | Model_Time : 1.4201 | x_y_time : 0.0001 | pred_time : 0.7556 | backward_time : 0.5359 | optim_time : 0.0074 
Epoch 00016 | Loss 0.7749 | Accuracy 0.7303 | Time : 1.5536 | Loop_Time : 0.1339 | Model_Time : 1.4197 | x_y_time : 0.0001 | pred_time : 0.7553 | backward_time : 0.5351 | optim_time : 0.0073 
Epoch 00017 | Loss 0.7710 | Accuracy 0.7312 | Time : 1.5547 | Loop_Time : 0.1348 | Model_Time : 1.4198 | x_y_time : 0.0001 | pred_time : 0.7558 | backward_time : 0.5348 | optim_time : 0.0073 
Epoch 00018 | Loss 0.7669 | Accuracy 0.7320 | Time : 1.5427 | Loop_Time : 0.1273 | Model_Time : 1.4153 | x_y_time : 0.0001 | pred_time : 0.7525 | backward_time : 0.5342 | optim_time : 0.0067 
Epoch 00019 | Loss 0.7641 | Accuracy 0.7330 | Time : 1.5472 | Loop_Time : 0.1286 | Model_Time : 1.4185 | x_y_time : 0.0001 | pred_time : 0.7536 | backward_time : 0.5356 | optim_time : 0.0068 
Epoch 00020 | Loss 0.7607 | Accuracy 0.7333 | Time : 1.5483 | Loop_Time : 0.1272 | Model_Time : 1.4211 | x_y_time : 0.0001 | pred_time : 0.7570 | backward_time : 0.5351 | optim_time : 0.0065 
Epoch 00021 | Loss 0.7561 | Accuracy 0.7342 | Time : 1.5434 | Loop_Time : 0.1274 | Model_Time : 1.4159 | x_y_time : 0.0001 | pred_time : 0.7537 | backward_time : 0.5339 | optim_time : 0.0066 
Epoch 00022 | Loss 0.7542 | Accuracy 0.7351 | Time : 1.5490 | Loop_Time : 0.1279 | Model_Time : 1.4210 | x_y_time : 0.0001 | pred_time : 0.7560 | backward_time : 0.5355 | optim_time : 0.0069 
Epoch 00023 | Loss 0.7510 | Accuracy 0.7356 | Time : 1.5545 | Loop_Time : 0.1368 | Model_Time : 1.4176 | x_y_time : 0.0002 | pred_time : 0.7534 | backward_time : 0.5353 | optim_time : 0.0068 
Epoch 00024 | Loss 0.7497 | Accuracy 0.7362 | Time : 1.5500 | Loop_Time : 0.1275 | Model_Time : 1.4225 | x_y_time : 0.0001 | pred_time : 0.7570 | backward_time : 0.5359 | optim_time : 0.0067 
Epoch 00025 | Loss 0.7457 | Accuracy 0.7365 | Time : 1.5557 | Loop_Time : 0.1302 | Model_Time : 1.4255 | x_y_time : 0.0001 | pred_time : 0.7592 | backward_time : 0.5362 | optim_time : 0.0069 
Epoch 00026 | Loss 0.7449 | Accuracy 0.7370 | Time : 1.5546 | Loop_Time : 0.1286 | Model_Time : 1.4259 | x_y_time : 0.0001 | pred_time : 0.7591 | backward_time : 0.5368 | optim_time : 0.0071 
Epoch 00027 | Loss 0.7420 | Accuracy 0.7373 | Time : 1.5519 | Loop_Time : 0.1269 | Model_Time : 1.4250 | x_y_time : 0.0001 | pred_time : 0.7583 | backward_time : 0.5365 | optim_time : 0.0066 
Epoch 00028 | Loss 0.7413 | Accuracy 0.7378 | Time : 1.5527 | Loop_Time : 0.1270 | Model_Time : 1.4257 | x_y_time : 0.0001 | pred_time : 0.7581 | backward_time : 0.5371 | optim_time : 0.0064 
Epoch 00029 | Loss 0.7385 | Accuracy 0.7381 | Time : 1.5531 | Loop_Time : 0.1269 | Model_Time : 1.4261 | x_y_time : 0.0001 | pred_time : 0.7588 | backward_time : 0.5366 | optim_time : 0.0065 
Epoch 00030 | Loss 0.7366 | Accuracy 0.7383 | Time : 1.5536 | Loop_Time : 0.1271 | Model_Time : 1.4265 | x_y_time : 0.0001 | pred_time : 0.7585 | backward_time : 0.5378 | optim_time : 0.0066 
Epoch 00031 | Loss 0.7356 | Accuracy 0.7394 | Time : 1.5525 | Loop_Time : 0.1267 | Model_Time : 1.4257 | x_y_time : 0.0001 | pred_time : 0.7593 | backward_time : 0.5363 | optim_time : 0.0066 
Epoch 00032 | Loss 0.7339 | Accuracy 0.7395 | Time : 1.5546 | Loop_Time : 0.1273 | Model_Time : 1.4272 | x_y_time : 0.0001 | pred_time : 0.7590 | backward_time : 0.5377 | optim_time : 0.0067 
Epoch 00033 | Loss 0.7334 | Accuracy 0.7395 | Time : 1.5535 | Loop_Time : 0.1267 | Model_Time : 1.4267 | x_y_time : 0.0001 | pred_time : 0.7593 | backward_time : 0.5369 | optim_time : 0.0066 
Epoch 00034 | Loss 0.7317 | Accuracy 0.7394 | Time : 1.5536 | Loop_Time : 0.1265 | Model_Time : 1.4270 | x_y_time : 0.0001 | pred_time : 0.7597 | backward_time : 0.5377 | optim_time : 0.0067 
Epoch 00035 | Loss 0.7307 | Accuracy 0.7401 | Time : 1.5529 | Loop_Time : 0.1267 | Model_Time : 1.4261 | x_y_time : 0.0001 | pred_time : 0.7594 | backward_time : 0.5371 | optim_time : 0.0065 
Epoch 00036 | Loss 0.7289 | Accuracy 0.7401 | Time : 1.5539 | Loop_Time : 0.1266 | Model_Time : 1.4272 | x_y_time : 0.0001 | pred_time : 0.7597 | backward_time : 0.5376 | optim_time : 0.0070 
Epoch 00037 | Loss 0.7278 | Accuracy 0.7406 | Time : 1.5539 | Loop_Time : 0.1266 | Model_Time : 1.4272 | x_y_time : 0.0001 | pred_time : 0.7601 | backward_time : 0.5369 | optim_time : 0.0064 
Epoch 00038 | Loss 0.7265 | Accuracy 0.7407 | Time : 1.5531 | Loop_Time : 0.1270 | Model_Time : 1.4260 | x_y_time : 0.0001 | pred_time : 0.7596 | backward_time : 0.5363 | optim_time : 0.0061 
Epoch 00039 | Loss 0.7255 | Accuracy 0.7407 | Time : 1.5535 | Loop_Time : 0.1272 | Model_Time : 1.4262 | x_y_time : 0.0001 | pred_time : 0.7593 | backward_time : 0.5372 | optim_time : 0.0061 
Epoch 00040 | Loss 0.7253 | Accuracy 0.7409 | Time : 1.5711 | Loop_Time : 0.1357 | Model_Time : 1.4353 | x_y_time : 0.0001 | pred_time : 0.7643 | backward_time : 0.5407 | optim_time : 0.0076 
Epoch 00041 | Loss 0.7240 | Accuracy 0.7411 | Time : 1.5608 | Loop_Time : 0.1295 | Model_Time : 1.4313 | x_y_time : 0.0001 | pred_time : 0.7619 | backward_time : 0.5388 | optim_time : 0.0073 
Epoch 00042 | Loss 0.7236 | Accuracy 0.7414 | Time : 1.5581 | Loop_Time : 0.1297 | Model_Time : 1.4283 | x_y_time : 0.0001 | pred_time : 0.7607 | backward_time : 0.5378 | optim_time : 0.0075 
Epoch 00043 | Loss 0.7230 | Accuracy 0.7415 | Time : 1.5589 | Loop_Time : 0.1319 | Model_Time : 1.4270 | x_y_time : 0.0001 | pred_time : 0.7594 | backward_time : 0.5382 | optim_time : 0.0074 
Epoch 00044 | Loss 0.7212 | Accuracy 0.7418 | Time : 1.5574 | Loop_Time : 0.1276 | Model_Time : 1.4297 | x_y_time : 0.0001 | pred_time : 0.7608 | backward_time : 0.5382 | optim_time : 0.0065 
Epoch 00045 | Loss 0.7196 | Accuracy 0.7420 | Time : 1.5553 | Loop_Time : 0.1279 | Model_Time : 1.4273 | x_y_time : 0.0001 | pred_time : 0.7599 | backward_time : 0.5381 | optim_time : 0.0065 
