Dataset = yelp, batch_size = 32768
Layer_1 182362 | Layer_2 407497 | Layer_3 556078
Epoch 00000 | Loss 0.8901 | Accuracy 0.9059| f1_micro 0.1607 | f1_macro 0.0197 | Time : 2.3987 | Loop_Time : 0.1559 | Model_Time : 2.2428 | x_y_time : 0.0005 | pred_time : 1.6890 | backward_time : 0.4758 | optim_time : 0.0145 
Epoch 00001 | Loss 0.3612 | Accuracy 0.9094| f1_micro 0.1597 | f1_macro 0.0136 | Time : 1.1790 | Loop_Time : 0.1456 | Model_Time : 1.0333 | x_y_time : 0.0002 | pred_time : 0.4814 | backward_time : 0.4755 | optim_time : 0.0147 
Epoch 00002 | Loss 0.3126 | Accuracy 0.9109| f1_micro 0.1454 | f1_macro 0.0096 | Time : 1.1774 | Loop_Time : 0.1419 | Model_Time : 1.0354 | x_y_time : 0.0002 | pred_time : 0.4836 | backward_time : 0.4753 | optim_time : 0.0139 
Epoch 00003 | Loss 0.2929 | Accuracy 0.9110| f1_micro 0.1463 | f1_macro 0.0098 | Time : 1.1839 | Loop_Time : 0.1469 | Model_Time : 1.0368 | x_y_time : 0.0003 | pred_time : 0.4843 | backward_time : 0.4749 | optim_time : 0.0152 
Epoch 00004 | Loss 0.2808 | Accuracy 0.9112| f1_micro 0.1470 | f1_macro 0.0100 | Time : 1.1788 | Loop_Time : 0.1463 | Model_Time : 1.0324 | x_y_time : 0.0002 | pred_time : 0.4808 | backward_time : 0.4767 | optim_time : 0.0154 
Epoch 00005 | Loss 0.2733 | Accuracy 0.9122| f1_micro 0.1605 | f1_macro 0.0140 | Time : 1.1819 | Loop_Time : 0.1502 | Model_Time : 1.0316 | x_y_time : 0.0003 | pred_time : 0.4807 | backward_time : 0.4754 | optim_time : 0.0148 
Epoch 00006 | Loss 0.2676 | Accuracy 0.9132| f1_micro 0.1854 | f1_macro 0.0200 | Time : 1.1909 | Loop_Time : 0.1541 | Model_Time : 1.0367 | x_y_time : 0.0002 | pred_time : 0.4839 | backward_time : 0.4759 | optim_time : 0.0143 
Epoch 00007 | Loss 0.2624 | Accuracy 0.9141| f1_micro 0.1991 | f1_macro 0.0239 | Time : 1.1739 | Loop_Time : 0.1505 | Model_Time : 1.0233 | x_y_time : 0.0002 | pred_time : 0.4806 | backward_time : 0.4676 | optim_time : 0.0149 
Epoch 00008 | Loss 0.2578 | Accuracy 0.9150| f1_micro 0.2218 | f1_macro 0.0292 | Time : 1.1745 | Loop_Time : 0.1449 | Model_Time : 1.0295 | x_y_time : 0.0002 | pred_time : 0.4786 | backward_time : 0.4744 | optim_time : 0.0154 
Epoch 00009 | Loss 0.2538 | Accuracy 0.9158| f1_micro 0.2392 | f1_macro 0.0336 | Time : 1.1727 | Loop_Time : 0.1520 | Model_Time : 1.0205 | x_y_time : 0.0002 | pred_time : 0.4790 | backward_time : 0.4674 | optim_time : 0.0163 
Epoch 00010 | Loss 0.2501 | Accuracy 0.9163| f1_micro 0.2476 | f1_macro 0.0366 | Time : 1.1868 | Loop_Time : 0.1507 | Model_Time : 1.0360 | x_y_time : 0.0003 | pred_time : 0.4831 | backward_time : 0.4771 | optim_time : 0.0148 
Epoch 00011 | Loss 0.2472 | Accuracy 0.9173| f1_micro 0.2760 | f1_macro 0.0467 | Time : 1.1718 | Loop_Time : 0.1547 | Model_Time : 1.0170 | x_y_time : 0.0002 | pred_time : 0.4764 | backward_time : 0.4674 | optim_time : 0.0154 
Epoch 00012 | Loss 0.2446 | Accuracy 0.9181| f1_micro 0.3022 | f1_macro 0.0571 | Time : 1.1815 | Loop_Time : 0.1480 | Model_Time : 1.0335 | x_y_time : 0.0002 | pred_time : 0.4786 | backward_time : 0.4782 | optim_time : 0.0156 
Epoch 00013 | Loss 0.2427 | Accuracy 0.9184| f1_micro 0.3018 | f1_macro 0.0582 | Time : 1.1859 | Loop_Time : 0.1500 | Model_Time : 1.0358 | x_y_time : 0.0002 | pred_time : 0.4842 | backward_time : 0.4755 | optim_time : 0.0144 
Epoch 00014 | Loss 0.2407 | Accuracy 0.9182| f1_micro 0.2791 | f1_macro 0.0520 | Time : 1.1886 | Loop_Time : 0.1516 | Model_Time : 1.0368 | x_y_time : 0.0002 | pred_time : 0.4827 | backward_time : 0.4766 | optim_time : 0.0149 
Epoch 00015 | Loss 0.2397 | Accuracy 0.9193| f1_micro 0.3204 | f1_macro 0.0671 | Time : 1.1989 | Loop_Time : 0.1602 | Model_Time : 1.0386 | x_y_time : 0.0003 | pred_time : 0.4864 | backward_time : 0.4751 | optim_time : 0.0157 
Epoch 00016 | Loss 0.2382 | Accuracy 0.9189| f1_micro 0.2924 | f1_macro 0.0584 | Time : 1.1760 | Loop_Time : 0.1549 | Model_Time : 1.0210 | x_y_time : 0.0003 | pred_time : 0.4774 | backward_time : 0.4728 | optim_time : 0.0162 
Epoch 00017 | Loss 0.2369 | Accuracy 0.9198| f1_micro 0.3231 | f1_macro 0.0701 | Time : 1.2006 | Loop_Time : 0.1606 | Model_Time : 1.0399 | x_y_time : 0.0003 | pred_time : 0.4867 | backward_time : 0.4748 | optim_time : 0.0164 
Epoch 00018 | Loss 0.2362 | Accuracy 0.9200| f1_micro 0.3273 | f1_macro 0.0723 | Time : 1.1707 | Loop_Time : 0.1508 | Model_Time : 1.0199 | x_y_time : 0.0003 | pred_time : 0.4756 | backward_time : 0.4681 | optim_time : 0.0161 
Epoch 00019 | Loss 0.2360 | Accuracy 0.9196| f1_micro 0.3062 | f1_macro 0.0638 | Time : 1.1822 | Loop_Time : 0.1410 | Model_Time : 1.0412 | x_y_time : 0.0002 | pred_time : 0.4871 | backward_time : 0.4766 | optim_time : 0.0149 
Epoch 00020 | Loss 0.2356 | Accuracy 0.9203| f1_micro 0.3366 | f1_macro 0.0753 | Time : 1.1784 | Loop_Time : 0.1385 | Model_Time : 1.0398 | x_y_time : 0.0002 | pred_time : 0.4851 | backward_time : 0.4785 | optim_time : 0.0141 
Epoch 00021 | Loss 0.2343 | Accuracy 0.9194| f1_micro 0.2980 | f1_macro 0.0612 | Time : 1.1828 | Loop_Time : 0.1461 | Model_Time : 1.0366 | x_y_time : 0.0002 | pred_time : 0.4855 | backward_time : 0.4753 | optim_time : 0.0147 
Epoch 00022 | Loss 0.2339 | Accuracy 0.9203| f1_micro 0.3260 | f1_macro 0.0720 | Time : 1.1766 | Loop_Time : 0.1456 | Model_Time : 1.0309 | x_y_time : 0.0002 | pred_time : 0.4810 | backward_time : 0.4773 | optim_time : 0.0150 
Epoch 00023 | Loss 0.2332 | Accuracy 0.9199| f1_micro 0.3116 | f1_macro 0.0664 | Time : 1.1838 | Loop_Time : 0.1459 | Model_Time : 1.0378 | x_y_time : 0.0002 | pred_time : 0.4845 | backward_time : 0.4767 | optim_time : 0.0153 
Epoch 00024 | Loss 0.2328 | Accuracy 0.9202| f1_micro 0.3182 | f1_macro 0.0692 | Time : 1.1791 | Loop_Time : 0.1406 | Model_Time : 1.0384 | x_y_time : 0.0002 | pred_time : 0.4839 | backward_time : 0.4775 | optim_time : 0.0154 
Epoch 00025 | Loss 0.2325 | Accuracy 0.9205| f1_micro 0.3308 | f1_macro 0.0742 | Time : 1.1719 | Loop_Time : 0.1546 | Model_Time : 1.0172 | x_y_time : 0.0003 | pred_time : 0.4750 | backward_time : 0.4684 | optim_time : 0.0172 
Epoch 00026 | Loss 0.2318 | Accuracy 0.9204| f1_micro 0.3250 | f1_macro 0.0720 | Time : 1.1846 | Loop_Time : 0.1445 | Model_Time : 1.0401 | x_y_time : 0.0002 | pred_time : 0.4848 | backward_time : 0.4774 | optim_time : 0.0150 
Epoch 00027 | Loss 0.2319 | Accuracy 0.9210| f1_micro 0.3429 | f1_macro 0.0801 | Time : 1.1824 | Loop_Time : 0.1582 | Model_Time : 1.0240 | x_y_time : 0.0003 | pred_time : 0.4779 | backward_time : 0.4707 | optim_time : 0.0163 
Epoch 00028 | Loss 0.2315 | Accuracy 0.9211| f1_micro 0.3553 | f1_macro 0.0841 | Time : 1.1788 | Loop_Time : 0.1436 | Model_Time : 1.0351 | x_y_time : 0.0002 | pred_time : 0.4792 | backward_time : 0.4788 | optim_time : 0.0169 
Epoch 00029 | Loss 0.2309 | Accuracy 0.9202| f1_micro 0.3134 | f1_macro 0.0674 | Time : 1.1813 | Loop_Time : 0.1398 | Model_Time : 1.0414 | x_y_time : 0.0002 | pred_time : 0.4854 | backward_time : 0.4790 | optim_time : 0.0155 
Epoch 00030 | Loss 0.2304 | Accuracy 0.9201| f1_micro 0.3068 | f1_macro 0.0662 | Time : 1.1786 | Loop_Time : 0.1437 | Model_Time : 1.0349 | x_y_time : 0.0002 | pred_time : 0.4815 | backward_time : 0.4781 | optim_time : 0.0144 
Epoch 00031 | Loss 0.2302 | Accuracy 0.9200| f1_micro 0.3019 | f1_macro 0.0643 | Time : 1.1814 | Loop_Time : 0.1392 | Model_Time : 1.0421 | x_y_time : 0.0002 | pred_time : 0.4870 | backward_time : 0.4783 | optim_time : 0.0142 
Epoch 00032 | Loss 0.2299 | Accuracy 0.9214| f1_micro 0.3555 | f1_macro 0.0859 | Time : 1.1874 | Loop_Time : 0.1555 | Model_Time : 1.0318 | x_y_time : 0.0002 | pred_time : 0.4791 | backward_time : 0.4777 | optim_time : 0.0142 
Epoch 00033 | Loss 0.2304 | Accuracy 0.9213| f1_micro 0.3500 | f1_macro 0.0831 | Time : 1.1803 | Loop_Time : 0.1424 | Model_Time : 1.0378 | x_y_time : 0.0002 | pred_time : 0.4850 | backward_time : 0.4784 | optim_time : 0.0137 
Epoch 00034 | Loss 0.2293 | Accuracy 0.9211| f1_micro 0.3437 | f1_macro 0.0802 | Time : 1.1738 | Loop_Time : 0.1477 | Model_Time : 1.0260 | x_y_time : 0.0003 | pred_time : 0.4780 | backward_time : 0.4722 | optim_time : 0.0170 
Epoch 00035 | Loss 0.2296 | Accuracy 0.9210| f1_micro 0.3382 | f1_macro 0.0778 | Time : 1.1858 | Loop_Time : 0.1455 | Model_Time : 1.0401 | x_y_time : 0.0002 | pred_time : 0.4855 | backward_time : 0.4762 | optim_time : 0.0152 
Epoch 00036 | Loss 0.2294 | Accuracy 0.9199| f1_micro 0.3007 | f1_macro 0.0641 | Time : 1.1909 | Loop_Time : 0.1631 | Model_Time : 1.0277 | x_y_time : 0.0003 | pred_time : 0.4828 | backward_time : 0.4690 | optim_time : 0.0146 
Epoch 00037 | Loss 0.2288 | Accuracy 0.9215| f1_micro 0.3560 | f1_macro 0.0857 | Time : 1.1832 | Loop_Time : 0.1463 | Model_Time : 1.0368 | x_y_time : 0.0002 | pred_time : 0.4833 | backward_time : 0.4791 | optim_time : 0.0149 
Epoch 00038 | Loss 0.2285 | Accuracy 0.9215| f1_micro 0.3547 | f1_macro 0.0857 | Time : 1.2030 | Loop_Time : 0.1605 | Model_Time : 1.0423 | x_y_time : 0.0003 | pred_time : 0.4894 | backward_time : 0.4744 | optim_time : 0.0169 
Epoch 00039 | Loss 0.2283 | Accuracy 0.9210| f1_micro 0.3363 | f1_macro 0.0774 | Time : 1.1860 | Loop_Time : 0.1422 | Model_Time : 1.0437 | x_y_time : 0.0002 | pred_time : 0.4861 | backward_time : 0.4810 | optim_time : 0.0141 
Epoch 00040 | Loss 0.2283 | Accuracy 0.9206| f1_micro 0.3162 | f1_macro 0.0703 | Time : 1.1896 | Loop_Time : 0.1503 | Model_Time : 1.0393 | x_y_time : 0.0003 | pred_time : 0.4845 | backward_time : 0.4762 | optim_time : 0.0158 
Epoch 00041 | Loss 0.2277 | Accuracy 0.9207| f1_micro 0.3237 | f1_macro 0.0727 | Time : 1.1833 | Loop_Time : 0.1423 | Model_Time : 1.0409 | x_y_time : 0.0002 | pred_time : 0.4867 | backward_time : 0.4798 | optim_time : 0.0146 
Epoch 00042 | Loss 0.2280 | Accuracy 0.9214| f1_micro 0.3454 | f1_macro 0.0815 | Time : 1.1854 | Loop_Time : 0.1476 | Model_Time : 1.0377 | x_y_time : 0.0002 | pred_time : 0.4820 | backward_time : 0.4777 | optim_time : 0.0151 
Epoch 00043 | Loss 0.2282 | Accuracy 0.9204| f1_micro 0.3118 | f1_macro 0.0678 | Time : 1.1940 | Loop_Time : 0.1560 | Model_Time : 1.0379 | x_y_time : 0.0003 | pred_time : 0.4839 | backward_time : 0.4762 | optim_time : 0.0148 
Epoch 00044 | Loss 0.2276 | Accuracy 0.9217| f1_micro 0.3598 | f1_macro 0.0884 | Time : 1.1890 | Loop_Time : 0.1481 | Model_Time : 1.0407 | x_y_time : 0.0002 | pred_time : 0.4861 | backward_time : 0.4758 | optim_time : 0.0155 
Epoch 00045 | Loss 0.2269 | Accuracy 0.9216| f1_micro 0.3542 | f1_macro 0.0851 | Time : 1.1692 | Loop_Time : 0.1496 | Model_Time : 1.0195 | x_y_time : 0.0003 | pred_time : 0.4759 | backward_time : 0.4709 | optim_time : 0.0177 
Epoch 00046 | Loss 0.2275 | Accuracy 0.9200| f1_micro 0.2989 | f1_macro 0.0643 | Time : 1.1857 | Loop_Time : 0.1427 | Model_Time : 1.0429 | x_y_time : 0.0002 | pred_time : 0.4855 | backward_time : 0.4811 | optim_time : 0.0144 
Epoch 00047 | Loss 0.2277 | Accuracy 0.9220| f1_micro 0.3725 | f1_macro 0.0937 | Time : 1.1999 | Loop_Time : 0.1589 | Model_Time : 1.0409 | x_y_time : 0.0003 | pred_time : 0.4862 | backward_time : 0.4773 | optim_time : 0.0160 
Epoch 00048 | Loss 0.2265 | Accuracy 0.9207| f1_micro 0.3157 | f1_macro 0.0716 | Time : 1.1892 | Loop_Time : 0.1522 | Model_Time : 1.0369 | x_y_time : 0.0002 | pred_time : 0.4847 | backward_time : 0.4754 | optim_time : 0.0138 
Epoch 00049 | Loss 0.2260 | Accuracy 0.9215| f1_micro 0.3445 | f1_macro 0.0819 | Time : 1.1880 | Loop_Time : 0.1423 | Model_Time : 1.0456 | x_y_time : 0.0002 | pred_time : 0.4863 | backward_time : 0.4814 | optim_time : 0.0157 
