Dataset = ogbn-products, batch_size = 4096
Layer_1 39491 | Layer_2 99475 | Layer_3 171649
Epoch 00000 | Loss 2.7427 | Accuracy 0.7378 | Time : 1.6494 | Loop_Time : 0.2121 | Model_Time : 1.4372 | x_y_time : 0.0010 | pred_time : 1.1464 | backward_time : 0.2153 | optim_time : 0.0303 
Epoch 00001 | Loss 1.0914 | Accuracy 0.8191 | Time : 0.7085 | Loop_Time : 0.1590 | Model_Time : 0.5494 | x_y_time : 0.0005 | pred_time : 0.2560 | backward_time : 0.2208 | optim_time : 0.0287 
Epoch 00002 | Loss 0.8187 | Accuracy 0.8412 | Time : 0.7079 | Loop_Time : 0.1584 | Model_Time : 0.5494 | x_y_time : 0.0005 | pred_time : 0.2559 | backward_time : 0.2209 | optim_time : 0.0284 
Epoch 00003 | Loss 0.6885 | Accuracy 0.8529 | Time : 0.7081 | Loop_Time : 0.1585 | Model_Time : 0.5495 | x_y_time : 0.0005 | pred_time : 0.2561 | backward_time : 0.2211 | optim_time : 0.0292 
Epoch 00004 | Loss 0.6164 | Accuracy 0.8612 | Time : 0.7066 | Loop_Time : 0.1575 | Model_Time : 0.5490 | x_y_time : 0.0005 | pred_time : 0.2558 | backward_time : 0.2207 | optim_time : 0.0290 
Epoch 00005 | Loss 0.5668 | Accuracy 0.8645 | Time : 0.7070 | Loop_Time : 0.1575 | Model_Time : 0.5494 | x_y_time : 0.0005 | pred_time : 0.2558 | backward_time : 0.2211 | optim_time : 0.0297 
Epoch 00006 | Loss 0.5302 | Accuracy 0.8679 | Time : 0.7070 | Loop_Time : 0.1577 | Model_Time : 0.5492 | x_y_time : 0.0005 | pred_time : 0.2558 | backward_time : 0.2208 | optim_time : 0.0289 
Epoch 00007 | Loss 0.5026 | Accuracy 0.8718 | Time : 0.7070 | Loop_Time : 0.1582 | Model_Time : 0.5487 | x_y_time : 0.0005 | pred_time : 0.2555 | backward_time : 0.2206 | optim_time : 0.0292 
Epoch 00008 | Loss 0.4786 | Accuracy 0.8745 | Time : 0.7068 | Loop_Time : 0.1574 | Model_Time : 0.5493 | x_y_time : 0.0005 | pred_time : 0.2558 | backward_time : 0.2209 | optim_time : 0.0289 
Epoch 00009 | Loss 0.4633 | Accuracy 0.8769 | Time : 0.7069 | Loop_Time : 0.1577 | Model_Time : 0.5491 | x_y_time : 0.0005 | pred_time : 0.2557 | backward_time : 0.2207 | optim_time : 0.0287 
Epoch 00010 | Loss 0.4461 | Accuracy 0.8781 | Time : 0.7059 | Loop_Time : 0.1573 | Model_Time : 0.5486 | x_y_time : 0.0005 | pred_time : 0.2553 | backward_time : 0.2208 | optim_time : 0.0297 
Epoch 00011 | Loss 0.4344 | Accuracy 0.8790 | Time : 0.7056 | Loop_Time : 0.1567 | Model_Time : 0.5488 | x_y_time : 0.0005 | pred_time : 0.2553 | backward_time : 0.2208 | optim_time : 0.0282 
Epoch 00012 | Loss 0.4246 | Accuracy 0.8801 | Time : 0.7073 | Loop_Time : 0.1579 | Model_Time : 0.5494 | x_y_time : 0.0005 | pred_time : 0.2558 | backward_time : 0.2209 | optim_time : 0.0306 
Epoch 00013 | Loss 0.4147 | Accuracy 0.8821 | Time : 0.7061 | Loop_Time : 0.1570 | Model_Time : 0.5490 | x_y_time : 0.0005 | pred_time : 0.2556 | backward_time : 0.2210 | optim_time : 0.0280 
Epoch 00014 | Loss 0.4080 | Accuracy 0.8828 | Time : 0.7068 | Loop_Time : 0.1581 | Model_Time : 0.5487 | x_y_time : 0.0005 | pred_time : 0.2554 | backward_time : 0.2207 | optim_time : 0.0289 
Epoch 00015 | Loss 0.4004 | Accuracy 0.8834 | Time : 0.7064 | Loop_Time : 0.1574 | Model_Time : 0.5489 | x_y_time : 0.0005 | pred_time : 0.2555 | backward_time : 0.2206 | optim_time : 0.0285 
Epoch 00016 | Loss 0.3948 | Accuracy 0.8852 | Time : 0.7068 | Loop_Time : 0.1575 | Model_Time : 0.5492 | x_y_time : 0.0005 | pred_time : 0.2557 | backward_time : 0.2208 | optim_time : 0.0293 
Epoch 00017 | Loss 0.3876 | Accuracy 0.8865 | Time : 0.7056 | Loop_Time : 0.1570 | Model_Time : 0.5485 | x_y_time : 0.0005 | pred_time : 0.2553 | backward_time : 0.2206 | optim_time : 0.0295 
