Dataset = yelp, batch_size = 4096
Layer_1 30697 | Layer_2 133362 | Layer_3 316078
Epoch 00000 | Loss 0.4095 | Accuracy 0.9123| f1_micro 0.1718 | f1_macro 0.0164 | Time : 4.9121 | Loop_Time : 0.7068 | Model_Time : 4.2050 | x_y_time : 0.0037 | pred_time : 2.5761 | backward_time : 1.2729 | optim_time : 0.1126 
Epoch 00001 | Loss 0.2570 | Accuracy 0.9168| f1_micro 0.2630 | f1_macro 0.0422 | Time : 3.7071 | Loop_Time : 0.7371 | Model_Time : 2.9697 | x_y_time : 0.0019 | pred_time : 1.3752 | backward_time : 1.2383 | optim_time : 0.1104 
Epoch 00002 | Loss 0.2427 | Accuracy 0.9186| f1_micro 0.2820 | f1_macro 0.0559 | Time : 3.4593 | Loop_Time : 0.6083 | Model_Time : 2.8507 | x_y_time : 0.0016 | pred_time : 1.3103 | backward_time : 1.2038 | optim_time : 0.0992 
Epoch 00003 | Loss 0.2363 | Accuracy 0.9202| f1_micro 0.3277 | f1_macro 0.0736 | Time : 3.6667 | Loop_Time : 0.6887 | Model_Time : 2.9777 | x_y_time : 0.0017 | pred_time : 1.3695 | backward_time : 1.2506 | optim_time : 0.1059 
Epoch 00004 | Loss 0.2331 | Accuracy 0.9202| f1_micro 0.3103 | f1_macro 0.0690 | Time : 3.6387 | Loop_Time : 0.6721 | Model_Time : 2.9663 | x_y_time : 0.0017 | pred_time : 1.3688 | backward_time : 1.2514 | optim_time : 0.1083 
Epoch 00005 | Loss 0.2317 | Accuracy 0.9197| f1_micro 0.2942 | f1_macro 0.0627 | Time : 3.6582 | Loop_Time : 0.6820 | Model_Time : 2.9759 | x_y_time : 0.0019 | pred_time : 1.3691 | backward_time : 1.2530 | optim_time : 0.1092 
Epoch 00006 | Loss 0.2298 | Accuracy 0.9216| f1_micro 0.3511 | f1_macro 0.0869 | Time : 3.6579 | Loop_Time : 0.7032 | Model_Time : 2.9544 | x_y_time : 0.0017 | pred_time : 1.3601 | backward_time : 1.2368 | optim_time : 0.1020 
Epoch 00007 | Loss 0.2285 | Accuracy 0.9204| f1_micro 0.3129 | f1_macro 0.0692 | Time : 3.5725 | Loop_Time : 0.6155 | Model_Time : 2.9568 | x_y_time : 0.0016 | pred_time : 1.3749 | backward_time : 1.2236 | optim_time : 0.0975 
Epoch 00008 | Loss 0.2276 | Accuracy 0.9215| f1_micro 0.3423 | f1_macro 0.0841 | Time : 3.6905 | Loop_Time : 0.6709 | Model_Time : 3.0193 | x_y_time : 0.0017 | pred_time : 1.3860 | backward_time : 1.2748 | optim_time : 0.1078 
Epoch 00009 | Loss 0.2267 | Accuracy 0.9221| f1_micro 0.3770 | f1_macro 0.0996 | Time : 3.7455 | Loop_Time : 0.7004 | Model_Time : 3.0448 | x_y_time : 0.0019 | pred_time : 1.3906 | backward_time : 1.2930 | optim_time : 0.1131 
Epoch 00010 | Loss 0.2262 | Accuracy 0.9217| f1_micro 0.3506 | f1_macro 0.0865 | Time : 3.7279 | Loop_Time : 0.7099 | Model_Time : 3.0177 | x_y_time : 0.0018 | pred_time : 1.3962 | backward_time : 1.2532 | optim_time : 0.1061 
Epoch 00011 | Loss 0.2253 | Accuracy 0.9224| f1_micro 0.3795 | f1_macro 0.1027 | Time : 3.7564 | Loop_Time : 0.7236 | Model_Time : 3.0326 | x_y_time : 0.0019 | pred_time : 1.4164 | backward_time : 1.2430 | optim_time : 0.1096 
Epoch 00012 | Loss 0.2247 | Accuracy 0.9226| f1_micro 0.3849 | f1_macro 0.1073 | Time : 3.7094 | Loop_Time : 0.6875 | Model_Time : 3.0216 | x_y_time : 0.0017 | pred_time : 1.4022 | backward_time : 1.2465 | optim_time : 0.1054 
Epoch 00013 | Loss 0.2244 | Accuracy 0.9216| f1_micro 0.3473 | f1_macro 0.0862 | Time : 3.6694 | Loop_Time : 0.6347 | Model_Time : 3.0344 | x_y_time : 0.0017 | pred_time : 1.4241 | backward_time : 1.2471 | optim_time : 0.1061 
Epoch 00014 | Loss 0.2244 | Accuracy 0.9218| f1_micro 0.3487 | f1_macro 0.0879 | Time : 3.6773 | Loop_Time : 0.6574 | Model_Time : 3.0197 | x_y_time : 0.0017 | pred_time : 1.4003 | backward_time : 1.2572 | optim_time : 0.1074 
Epoch 00015 | Loss 0.2235 | Accuracy 0.9227| f1_micro 0.3891 | f1_macro 0.1085 | Time : 3.7238 | Loop_Time : 0.7026 | Model_Time : 3.0208 | x_y_time : 0.0018 | pred_time : 1.4200 | backward_time : 1.2321 | optim_time : 0.1106 
Epoch 00016 | Loss 0.2232 | Accuracy 0.9220| f1_micro 0.3500 | f1_macro 0.0889 | Time : 3.7658 | Loop_Time : 0.7148 | Model_Time : 3.0507 | x_y_time : 0.0019 | pred_time : 1.4145 | backward_time : 1.2653 | optim_time : 0.1127 
Epoch 00017 | Loss 0.2228 | Accuracy 0.9220| f1_micro 0.3528 | f1_macro 0.0913 | Time : 3.6863 | Loop_Time : 0.6592 | Model_Time : 3.0269 | x_y_time : 0.0017 | pred_time : 1.4023 | backward_time : 1.2604 | optim_time : 0.1058 
Epoch 00018 | Loss 0.2226 | Accuracy 0.9220| f1_micro 0.3551 | f1_macro 0.0921 | Time : 3.6574 | Loop_Time : 0.6421 | Model_Time : 3.0151 | x_y_time : 0.0017 | pred_time : 1.4104 | backward_time : 1.2520 | optim_time : 0.1081 
Epoch 00019 | Loss 0.2226 | Accuracy 0.9220| f1_micro 0.3493 | f1_macro 0.0889 | Time : 3.7413 | Loop_Time : 0.7105 | Model_Time : 3.0305 | x_y_time : 0.0018 | pred_time : 1.3916 | backward_time : 1.2705 | optim_time : 0.1071 
Epoch 00020 | Loss 0.2223 | Accuracy 0.9226| f1_micro 0.3745 | f1_macro 0.1008 | Time : 3.6313 | Loop_Time : 0.6290 | Model_Time : 3.0021 | x_y_time : 0.0016 | pred_time : 1.4069 | backward_time : 1.2308 | optim_time : 0.1041 
Epoch 00021 | Loss 0.2216 | Accuracy 0.9230| f1_micro 0.4087 | f1_macro 0.1220 | Time : 3.6319 | Loop_Time : 0.6304 | Model_Time : 3.0012 | x_y_time : 0.0016 | pred_time : 1.4028 | backward_time : 1.2341 | optim_time : 0.1040 
Epoch 00022 | Loss 0.2220 | Accuracy 0.9224| f1_micro 0.3666 | f1_macro 0.0970 | Time : 3.7012 | Loop_Time : 0.6787 | Model_Time : 3.0223 | x_y_time : 0.0018 | pred_time : 1.3979 | backward_time : 1.2617 | optim_time : 0.1119 
Epoch 00023 | Loss 0.2215 | Accuracy 0.9226| f1_micro 0.3779 | f1_macro 0.1023 | Time : 3.7283 | Loop_Time : 0.7114 | Model_Time : 3.0166 | x_y_time : 0.0019 | pred_time : 1.4035 | backward_time : 1.2473 | optim_time : 0.1086 
Epoch 00024 | Loss 0.2225 | Accuracy 0.9225| f1_micro 0.3695 | f1_macro 0.0995 | Time : 3.7463 | Loop_Time : 0.7195 | Model_Time : 3.0265 | x_y_time : 0.0019 | pred_time : 1.4003 | backward_time : 1.2531 | optim_time : 0.1115 
Epoch 00025 | Loss 0.2210 | Accuracy 0.9227| f1_micro 0.3767 | f1_macro 0.1037 | Time : 3.7758 | Loop_Time : 0.7463 | Model_Time : 3.0292 | x_y_time : 0.0021 | pred_time : 1.4094 | backward_time : 1.2476 | optim_time : 0.1174 
Epoch 00026 | Loss 0.2210 | Accuracy 0.9216| f1_micro 0.3359 | f1_macro 0.0833 | Time : 3.7367 | Loop_Time : 0.7115 | Model_Time : 3.0249 | x_y_time : 0.0019 | pred_time : 1.3922 | backward_time : 1.2620 | optim_time : 0.1094 
Epoch 00027 | Loss 0.2211 | Accuracy 0.9229| f1_micro 0.3853 | f1_macro 0.1060 | Time : 3.6876 | Loop_Time : 0.6853 | Model_Time : 3.0020 | x_y_time : 0.0018 | pred_time : 1.3905 | backward_time : 1.2533 | optim_time : 0.1151 
