Dataset = ogbn-arxiv, batch_size = 1024
Layer_1 5950 | Layer_2 21110 | Layer_3 43276
Epoch 00000 | Loss 2.6201 | Accuracy 0.4801 | Time : 1.9134 | Loop_Time : 0.3208 | Model_Time : 1.5925 | x_y_time : 0.0024 | pred_time : 1.1671 | backward_time : 0.3410 | optim_time : 0.0733 
Epoch 00001 | Loss 1.9146 | Accuracy 0.5388 | Time : 1.0243 | Loop_Time : 0.3205 | Model_Time : 0.7037 | x_y_time : 0.0012 | pred_time : 0.2635 | backward_time : 0.3572 | optim_time : 0.0730 
Epoch 00002 | Loss 1.7042 | Accuracy 0.5615 | Time : 1.0288 | Loop_Time : 0.3248 | Model_Time : 0.7038 | x_y_time : 0.0012 | pred_time : 0.2642 | backward_time : 0.3548 | optim_time : 0.0751 
Epoch 00003 | Loss 1.5986 | Accuracy 0.5756 | Time : 1.0210 | Loop_Time : 0.3184 | Model_Time : 0.7024 | x_y_time : 0.0011 | pred_time : 0.2624 | backward_time : 0.3572 | optim_time : 0.0731 
Epoch 00004 | Loss 1.5271 | Accuracy 0.5807 | Time : 1.0157 | Loop_Time : 0.3162 | Model_Time : 0.6993 | x_y_time : 0.0011 | pred_time : 0.2605 | backward_time : 0.3553 | optim_time : 0.0737 
Epoch 00005 | Loss 1.4860 | Accuracy 0.5859 | Time : 1.0107 | Loop_Time : 0.3188 | Model_Time : 0.6917 | x_y_time : 0.0011 | pred_time : 0.2604 | backward_time : 0.3546 | optim_time : 0.0671 
Epoch 00006 | Loss 1.4514 | Accuracy 0.5912 | Time : 1.0166 | Loop_Time : 0.3168 | Model_Time : 0.6997 | x_y_time : 0.0012 | pred_time : 0.2612 | backward_time : 0.3556 | optim_time : 0.0730 
Epoch 00007 | Loss 1.4394 | Accuracy 0.5942 | Time : 1.0283 | Loop_Time : 0.3236 | Model_Time : 0.7046 | x_y_time : 0.0012 | pred_time : 0.2632 | backward_time : 0.3559 | optim_time : 0.0756 
Epoch 00008 | Loss 1.4127 | Accuracy 0.5987 | Time : 1.0225 | Loop_Time : 0.3195 | Model_Time : 0.7029 | x_y_time : 0.0012 | pred_time : 0.2618 | backward_time : 0.3564 | optim_time : 0.0748 
Epoch 00009 | Loss 1.3856 | Accuracy 0.5859 | Time : 1.0174 | Loop_Time : 0.3158 | Model_Time : 0.7014 | x_y_time : 0.0011 | pred_time : 0.2609 | backward_time : 0.3564 | optim_time : 0.0741 
Epoch 00010 | Loss 1.3751 | Accuracy 0.6016 | Time : 1.0206 | Loop_Time : 0.3197 | Model_Time : 0.7008 | x_y_time : 0.0011 | pred_time : 0.2620 | backward_time : 0.3560 | optim_time : 0.0728 
Epoch 00011 | Loss 1.3610 | Accuracy 0.5998 | Time : 1.0457 | Loop_Time : 0.3325 | Model_Time : 0.7130 | x_y_time : 0.0012 | pred_time : 0.2680 | backward_time : 0.3589 | optim_time : 0.0754 
Epoch 00012 | Loss 1.3493 | Accuracy 0.6059 | Time : 1.0234 | Loop_Time : 0.3210 | Model_Time : 0.7022 | x_y_time : 0.0011 | pred_time : 0.2622 | backward_time : 0.3570 | optim_time : 0.0726 
Epoch 00013 | Loss 1.3441 | Accuracy 0.6033 | Time : 1.0353 | Loop_Time : 0.3272 | Model_Time : 0.7080 | x_y_time : 0.0012 | pred_time : 0.2656 | backward_time : 0.3574 | optim_time : 0.0750 
Epoch 00014 | Loss 1.3418 | Accuracy 0.6054 | Time : 1.0159 | Loop_Time : 0.3166 | Model_Time : 0.6992 | x_y_time : 0.0011 | pred_time : 0.2610 | backward_time : 0.3555 | optim_time : 0.0729 
Epoch 00015 | Loss 1.3233 | Accuracy 0.6043 | Time : 1.0163 | Loop_Time : 0.3165 | Model_Time : 0.6997 | x_y_time : 0.0012 | pred_time : 0.2603 | backward_time : 0.3560 | optim_time : 0.0734 
Epoch 00016 | Loss 1.3218 | Accuracy 0.6047 | Time : 1.0134 | Loop_Time : 0.3147 | Model_Time : 0.6986 | x_y_time : 0.0011 | pred_time : 0.2602 | backward_time : 0.3550 | optim_time : 0.0737 
Epoch 00017 | Loss 1.3133 | Accuracy 0.6040 | Time : 1.0157 | Loop_Time : 0.3160 | Model_Time : 0.6995 | x_y_time : 0.0011 | pred_time : 0.2610 | backward_time : 0.3553 | optim_time : 0.0732 
Epoch 00018 | Loss 1.3085 | Accuracy 0.6079 | Time : 1.0320 | Loop_Time : 0.3253 | Model_Time : 0.7065 | x_y_time : 0.0012 | pred_time : 0.2643 | backward_time : 0.3563 | optim_time : 0.0761 
Epoch 00019 | Loss 1.3052 | Accuracy 0.5984 | Time : 1.0317 | Loop_Time : 0.3251 | Model_Time : 0.7065 | x_y_time : 0.0012 | pred_time : 0.2649 | backward_time : 0.3556 | optim_time : 0.0760 
Epoch 00020 | Loss 1.3014 | Accuracy 0.6053 | Time : 1.0140 | Loop_Time : 0.3156 | Model_Time : 0.6983 | x_y_time : 0.0011 | pred_time : 0.2601 | backward_time : 0.3556 | optim_time : 0.0727 
