Dataset = ogbn-products, batch_size = 16384
Layer_1 85438 | Layer_2 157843 | Layer_3 255601
Epoch 00000 | Loss 4.6000 | Accuracy 0.5313 | Time : 1.2046 | Loop_Time : 0.1046 | Model_Time : 1.1000 | x_y_time : 0.0002 | pred_time : 0.9942 | backward_time : 0.0781 | optim_time : 0.0084 
Epoch 00001 | Loss 2.3420 | Accuracy 0.6399 | Time : 0.2679 | Loop_Time : 0.0527 | Model_Time : 0.2151 | x_y_time : 0.0001 | pred_time : 0.1054 | backward_time : 0.0846 | optim_time : 0.0075 
Epoch 00002 | Loss 1.6686 | Accuracy 0.7331 | Time : 0.2670 | Loop_Time : 0.0517 | Model_Time : 0.2153 | x_y_time : 0.0001 | pred_time : 0.1054 | backward_time : 0.0848 | optim_time : 0.0078 
Epoch 00003 | Loss 1.3383 | Accuracy 0.7768 | Time : 0.2668 | Loop_Time : 0.0517 | Model_Time : 0.2150 | x_y_time : 0.0001 | pred_time : 0.1051 | backward_time : 0.0849 | optim_time : 0.0072 
Epoch 00004 | Loss 1.1345 | Accuracy 0.7977 | Time : 0.2663 | Loop_Time : 0.0513 | Model_Time : 0.2150 | x_y_time : 0.0001 | pred_time : 0.1051 | backward_time : 0.0849 | optim_time : 0.0079 
Epoch 00005 | Loss 0.9926 | Accuracy 0.8166 | Time : 0.2660 | Loop_Time : 0.0509 | Model_Time : 0.2150 | x_y_time : 0.0001 | pred_time : 0.1051 | backward_time : 0.0849 | optim_time : 0.0072 
Epoch 00006 | Loss 0.9063 | Accuracy 0.8259 | Time : 0.2660 | Loop_Time : 0.0511 | Model_Time : 0.2148 | x_y_time : 0.0001 | pred_time : 0.1052 | backward_time : 0.0848 | optim_time : 0.0071 
Epoch 00007 | Loss 0.8259 | Accuracy 0.8345 | Time : 0.2662 | Loop_Time : 0.0510 | Model_Time : 0.2152 | x_y_time : 0.0001 | pred_time : 0.1052 | backward_time : 0.0851 | optim_time : 0.0077 
Epoch 00008 | Loss 0.7765 | Accuracy 0.8398 | Time : 0.2661 | Loop_Time : 0.0511 | Model_Time : 0.2149 | x_y_time : 0.0001 | pred_time : 0.1050 | backward_time : 0.0849 | optim_time : 0.0080 
Epoch 00009 | Loss 0.7278 | Accuracy 0.8458 | Time : 0.2662 | Loop_Time : 0.0512 | Model_Time : 0.2149 | x_y_time : 0.0001 | pred_time : 0.1051 | backward_time : 0.0848 | optim_time : 0.0072 
Epoch 00010 | Loss 0.6923 | Accuracy 0.8494 | Time : 0.2661 | Loop_Time : 0.0509 | Model_Time : 0.2152 | x_y_time : 0.0001 | pred_time : 0.1052 | backward_time : 0.0850 | optim_time : 0.0073 
Epoch 00011 | Loss 0.6555 | Accuracy 0.8535 | Time : 0.2658 | Loop_Time : 0.0507 | Model_Time : 0.2150 | x_y_time : 0.0001 | pred_time : 0.1052 | backward_time : 0.0849 | optim_time : 0.0079 
Epoch 00012 | Loss 0.6378 | Accuracy 0.8572 | Time : 0.2664 | Loop_Time : 0.0514 | Model_Time : 0.2150 | x_y_time : 0.0001 | pred_time : 0.1051 | backward_time : 0.0848 | optim_time : 0.0071 
Epoch 00013 | Loss 0.6109 | Accuracy 0.8598 | Time : 0.2660 | Loop_Time : 0.0510 | Model_Time : 0.2149 | x_y_time : 0.0001 | pred_time : 0.1051 | backward_time : 0.0849 | optim_time : 0.0070 
Epoch 00014 | Loss 0.5939 | Accuracy 0.8614 | Time : 0.2660 | Loop_Time : 0.0509 | Model_Time : 0.2151 | x_y_time : 0.0001 | pred_time : 0.1052 | backward_time : 0.0850 | optim_time : 0.0076 
Epoch 00015 | Loss 0.5742 | Accuracy 0.8633 | Time : 0.2661 | Loop_Time : 0.0512 | Model_Time : 0.2149 | x_y_time : 0.0001 | pred_time : 0.1051 | backward_time : 0.0849 | optim_time : 0.0077 
Epoch 00016 | Loss 0.5608 | Accuracy 0.8650 | Time : 0.2660 | Loop_Time : 0.0509 | Model_Time : 0.2150 | x_y_time : 0.0001 | pred_time : 0.1051 | backward_time : 0.0849 | optim_time : 0.0072 
Epoch 00017 | Loss 0.5469 | Accuracy 0.8662 | Time : 0.2656 | Loop_Time : 0.0505 | Model_Time : 0.2150 | x_y_time : 0.0001 | pred_time : 0.1052 | backward_time : 0.0849 | optim_time : 0.0077 
Epoch 00018 | Loss 0.5359 | Accuracy 0.8680 | Time : 0.2658 | Loop_Time : 0.0510 | Model_Time : 0.2147 | x_y_time : 0.0001 | pred_time : 0.1051 | backward_time : 0.0847 | optim_time : 0.0076 
Epoch 00019 | Loss 0.5224 | Accuracy 0.8686 | Time : 0.2660 | Loop_Time : 0.0510 | Model_Time : 0.2149 | x_y_time : 0.0001 | pred_time : 0.1050 | backward_time : 0.0849 | optim_time : 0.0076 
Epoch 00020 | Loss 0.5104 | Accuracy 0.8696 | Time : 0.2653 | Loop_Time : 0.0506 | Model_Time : 0.2146 | x_y_time : 0.0001 | pred_time : 0.1049 | backward_time : 0.0847 | optim_time : 0.0077 
Epoch 00021 | Loss 0.5031 | Accuracy 0.8705 | Time : 0.2660 | Loop_Time : 0.0511 | Model_Time : 0.2148 | x_y_time : 0.0001 | pred_time : 0.1050 | backward_time : 0.0848 | optim_time : 0.0074 
Epoch 00022 | Loss 0.4933 | Accuracy 0.8710 | Time : 0.2656 | Loop_Time : 0.0507 | Model_Time : 0.2149 | x_y_time : 0.0001 | pred_time : 0.1051 | backward_time : 0.0847 | optim_time : 0.0074 
