Dataset = igb-small, batch_size = 1024
Layer_1 12617 | Layer_2 116288 | Layer_3 528888
Epoch 00000 | Loss 0.8469 | Accuracy 0.7320 | Time : 26.9107 | Loop_Time : 2.3700 | Model_Time : 24.5402 | x_y_time : 0.0119 | pred_time : 13.9278 | backward_time : 6.0487 | optim_time : 0.3844 
Epoch 00001 | Loss 0.7445 | Accuracy 0.7335 | Time : 26.0141 | Loop_Time : 2.4238 | Model_Time : 23.5897 | x_y_time : 0.0064 | pred_time : 13.1934 | backward_time : 5.7324 | optim_time : 0.3932 
Epoch 00002 | Loss 0.7352 | Accuracy 0.7361 | Time : 26.3207 | Loop_Time : 2.4136 | Model_Time : 23.9064 | x_y_time : 0.0061 | pred_time : 13.2483 | backward_time : 5.9717 | optim_time : 0.3841 
Epoch 00003 | Loss 0.7313 | Accuracy 0.7374 | Time : 26.4014 | Loop_Time : 2.4140 | Model_Time : 23.9867 | x_y_time : 0.0061 | pred_time : 13.2730 | backward_time : 6.0099 | optim_time : 0.3834 
Epoch 00004 | Loss 0.7295 | Accuracy 0.7354 | Time : 26.4183 | Loop_Time : 2.4132 | Model_Time : 24.0044 | x_y_time : 0.0062 | pred_time : 13.2929 | backward_time : 6.0126 | optim_time : 0.3778 
Epoch 00005 | Loss 0.7274 | Accuracy 0.7370 | Time : 26.4439 | Loop_Time : 2.4791 | Model_Time : 23.9642 | x_y_time : 0.0064 | pred_time : 13.3098 | backward_time : 5.9482 | optim_time : 0.3844 
Epoch 00006 | Loss 0.7272 | Accuracy 0.7383 | Time : 26.2573 | Loop_Time : 2.3656 | Model_Time : 23.8911 | x_y_time : 0.0060 | pred_time : 13.2288 | backward_time : 5.9786 | optim_time : 0.3705 
Epoch 00007 | Loss 0.7263 | Accuracy 0.7374 | Time : 26.3495 | Loop_Time : 2.4187 | Model_Time : 23.9301 | x_y_time : 0.0063 | pred_time : 13.2480 | backward_time : 6.0055 | optim_time : 0.3760 
Epoch 00008 | Loss 0.7243 | Accuracy 0.7380 | Time : 26.2366 | Loop_Time : 2.3618 | Model_Time : 23.8741 | x_y_time : 0.0060 | pred_time : 13.2327 | backward_time : 5.9692 | optim_time : 0.3712 
Epoch 00009 | Loss 0.7243 | Accuracy 0.7389 | Time : 26.3152 | Loop_Time : 2.4164 | Model_Time : 23.8982 | x_y_time : 0.0062 | pred_time : 13.2462 | backward_time : 5.9830 | optim_time : 0.3714 
Epoch 00010 | Loss 0.7244 | Accuracy 0.7386 | Time : 26.2274 | Loop_Time : 2.3974 | Model_Time : 23.8293 | x_y_time : 0.0062 | pred_time : 13.2354 | backward_time : 5.9104 | optim_time : 0.3733 
