Dataset = ogbn-products, batch_size = 2048
Layer_1 23983 | Layer_2 76667 | Layer_3 142805
Epoch 00000 | Loss 1.8991 | Accuracy 0.8181 | Time : 2.1157 | Loop_Time : 0.3563 | Model_Time : 1.7593 | x_y_time : 0.0019 | pred_time : 1.2892 | backward_time : 0.3534 | optim_time : 0.0602 
Epoch 00001 | Loss 0.7641 | Accuracy 0.8492 | Time : 1.1782 | Loop_Time : 0.2995 | Model_Time : 0.8786 | x_y_time : 0.0009 | pred_time : 0.4009 | backward_time : 0.3647 | optim_time : 0.0589 
Epoch 00002 | Loss 0.6015 | Accuracy 0.8628 | Time : 1.1837 | Loop_Time : 0.3029 | Model_Time : 0.8807 | x_y_time : 0.0009 | pred_time : 0.4024 | backward_time : 0.3651 | optim_time : 0.0599 
Epoch 00003 | Loss 0.5294 | Accuracy 0.8679 | Time : 1.1813 | Loop_Time : 0.3017 | Model_Time : 0.8795 | x_y_time : 0.0009 | pred_time : 0.4019 | backward_time : 0.3645 | optim_time : 0.0592 
Epoch 00004 | Loss 0.4861 | Accuracy 0.8728 | Time : 1.1805 | Loop_Time : 0.3013 | Model_Time : 0.8791 | x_y_time : 0.0009 | pred_time : 0.4012 | backward_time : 0.3648 | optim_time : 0.0589 
Epoch 00005 | Loss 0.4533 | Accuracy 0.8758 | Time : 1.1808 | Loop_Time : 0.3016 | Model_Time : 0.8792 | x_y_time : 0.0009 | pred_time : 0.4016 | backward_time : 0.3651 | optim_time : 0.0599 
Epoch 00006 | Loss 0.4336 | Accuracy 0.8786 | Time : 1.1841 | Loop_Time : 0.3029 | Model_Time : 0.8811 | x_y_time : 0.0010 | pred_time : 0.4027 | backward_time : 0.3658 | optim_time : 0.0591 
Epoch 00007 | Loss 0.4166 | Accuracy 0.8828 | Time : 1.1865 | Loop_Time : 0.3042 | Model_Time : 0.8822 | x_y_time : 0.0009 | pred_time : 0.4034 | backward_time : 0.3659 | optim_time : 0.0604 
Epoch 00008 | Loss 0.4046 | Accuracy 0.8834 | Time : 1.1927 | Loop_Time : 0.3085 | Model_Time : 0.8841 | x_y_time : 0.0010 | pred_time : 0.4046 | backward_time : 0.3670 | optim_time : 0.0618 
Epoch 00009 | Loss 0.3936 | Accuracy 0.8866 | Time : 1.1832 | Loop_Time : 0.3030 | Model_Time : 0.8801 | x_y_time : 0.0009 | pred_time : 0.4025 | backward_time : 0.3650 | optim_time : 0.0592 
Epoch 00010 | Loss 0.3824 | Accuracy 0.8875 | Time : 1.1843 | Loop_Time : 0.3032 | Model_Time : 0.8810 | x_y_time : 0.0009 | pred_time : 0.4025 | backward_time : 0.3655 | optim_time : 0.0601 
Epoch 00011 | Loss 0.3738 | Accuracy 0.8900 | Time : 1.1886 | Loop_Time : 0.3053 | Model_Time : 0.8832 | x_y_time : 0.0010 | pred_time : 0.4040 | backward_time : 0.3663 | optim_time : 0.0612 
Epoch 00012 | Loss 0.3694 | Accuracy 0.8900 | Time : 1.1873 | Loop_Time : 0.3048 | Model_Time : 0.8824 | x_y_time : 0.0009 | pred_time : 0.4035 | backward_time : 0.3660 | optim_time : 0.0602 
Epoch 00013 | Loss 0.3632 | Accuracy 0.8906 | Time : 1.1828 | Loop_Time : 0.3023 | Model_Time : 0.8804 | x_y_time : 0.0009 | pred_time : 0.4024 | backward_time : 0.3650 | optim_time : 0.0595 
Epoch 00014 | Loss 0.3552 | Accuracy 0.8928 | Time : 1.1801 | Loop_Time : 0.3015 | Model_Time : 0.8784 | x_y_time : 0.0009 | pred_time : 0.4016 | backward_time : 0.3639 | optim_time : 0.0617 
Epoch 00015 | Loss 0.3512 | Accuracy 0.8934 | Time : 1.1790 | Loop_Time : 0.2994 | Model_Time : 0.8795 | x_y_time : 0.0009 | pred_time : 0.4009 | backward_time : 0.3651 | optim_time : 0.0596 
Epoch 00016 | Loss 0.3464 | Accuracy 0.8937 | Time : 1.1864 | Loop_Time : 0.3041 | Model_Time : 0.8821 | x_y_time : 0.0010 | pred_time : 0.4028 | backward_time : 0.3659 | optim_time : 0.0605 
Epoch 00017 | Loss 0.3444 | Accuracy 0.8942 | Time : 1.1804 | Loop_Time : 0.3011 | Model_Time : 0.8793 | x_y_time : 0.0009 | pred_time : 0.4018 | backward_time : 0.3645 | optim_time : 0.0601 
Epoch 00018 | Loss 0.3419 | Accuracy 0.8954 | Time : 1.1776 | Loop_Time : 0.2989 | Model_Time : 0.8786 | x_y_time : 0.0009 | pred_time : 0.4011 | backward_time : 0.3641 | optim_time : 0.0596 
Epoch 00019 | Loss 0.3373 | Accuracy 0.8938 | Time : 1.1819 | Loop_Time : 0.3017 | Model_Time : 0.8800 | x_y_time : 0.0009 | pred_time : 0.4024 | backward_time : 0.3643 | optim_time : 0.0593 
Epoch 00020 | Loss 0.3341 | Accuracy 0.8965 | Time : 1.1780 | Loop_Time : 0.2986 | Model_Time : 0.8793 | x_y_time : 0.0009 | pred_time : 0.4009 | backward_time : 0.3652 | optim_time : 0.0595 
Epoch 00021 | Loss 0.3326 | Accuracy 0.8961 | Time : 1.1982 | Loop_Time : 0.3118 | Model_Time : 0.8863 | x_y_time : 0.0010 | pred_time : 0.4060 | backward_time : 0.3669 | optim_time : 0.0624 
Epoch 00022 | Loss 0.3286 | Accuracy 0.8971 | Time : 1.1930 | Loop_Time : 0.3077 | Model_Time : 0.8851 | x_y_time : 0.0010 | pred_time : 0.4046 | backward_time : 0.3678 | optim_time : 0.0615 
Epoch 00023 | Loss 0.3267 | Accuracy 0.8961 | Time : 1.1931 | Loop_Time : 0.3083 | Model_Time : 0.8847 | x_y_time : 0.0010 | pred_time : 0.4048 | backward_time : 0.3668 | optim_time : 0.0613 
Epoch 00024 | Loss 0.3255 | Accuracy 0.8970 | Time : 1.1949 | Loop_Time : 0.3101 | Model_Time : 0.8847 | x_y_time : 0.0010 | pred_time : 0.4054 | backward_time : 0.3663 | optim_time : 0.0626 
Epoch 00025 | Loss 0.3199 | Accuracy 0.8985 | Time : 1.1791 | Loop_Time : 0.3006 | Model_Time : 0.8783 | x_y_time : 0.0009 | pred_time : 0.4013 | backward_time : 0.3642 | optim_time : 0.0592 
Epoch 00026 | Loss 0.3197 | Accuracy 0.8978 | Time : 1.1746 | Loop_Time : 0.2986 | Model_Time : 0.8758 | x_y_time : 0.0009 | pred_time : 0.4008 | backward_time : 0.3617 | optim_time : 0.0595 
Epoch 00027 | Loss 0.3204 | Accuracy 0.8973 | Time : 1.1831 | Loop_Time : 0.3013 | Model_Time : 0.8817 | x_y_time : 0.0009 | pred_time : 0.4025 | backward_time : 0.3662 | optim_time : 0.0599 
Epoch 00028 | Loss 0.3171 | Accuracy 0.8980 | Time : 1.2905 | Loop_Time : 0.4126 | Model_Time : 0.8778 | x_y_time : 0.0009 | pred_time : 0.4001 | backward_time : 0.3644 | optim_time : 0.0591 
Epoch 00029 | Loss 0.3162 | Accuracy 0.8989 | Time : 1.1798 | Loop_Time : 0.3008 | Model_Time : 0.8789 | x_y_time : 0.0009 | pred_time : 0.4013 | backward_time : 0.3646 | optim_time : 0.0599 
Epoch 00030 | Loss 0.3144 | Accuracy 0.9000 | Time : 1.1800 | Loop_Time : 0.3007 | Model_Time : 0.8792 | x_y_time : 0.0009 | pred_time : 0.4014 | backward_time : 0.3643 | optim_time : 0.0608 
Epoch 00031 | Loss 0.3124 | Accuracy 0.8993 | Time : 1.1793 | Loop_Time : 0.3006 | Model_Time : 0.8786 | x_y_time : 0.0009 | pred_time : 0.4011 | backward_time : 0.3644 | optim_time : 0.0599 
