Dataset = igb-small, batch_size = 1024
Layer_1 14208 | Layer_2 151884 | Layer_3 644960
Epoch 00000 | Loss 0.8385 | Accuracy 0.7337 | Time : 32.3567 | Loop_Time : 2.6780 | Model_Time : 29.6782 | x_y_time : 0.0107 | pred_time : 16.8755 | backward_time : 7.4236 | optim_time : 0.3379 
Epoch 00001 | Loss 0.7431 | Accuracy 0.7330 | Time : 32.2769 | Loop_Time : 2.6698 | Model_Time : 29.6066 | x_y_time : 0.0053 | pred_time : 16.5469 | backward_time : 7.3061 | optim_time : 0.3540 
Epoch 00002 | Loss 0.7333 | Accuracy 0.7350 | Time : 32.8235 | Loop_Time : 2.6665 | Model_Time : 30.1565 | x_y_time : 0.0052 | pred_time : 16.7037 | backward_time : 7.6093 | optim_time : 0.3368 
Epoch 00003 | Loss 0.7303 | Accuracy 0.7386 | Time : 32.8179 | Loop_Time : 2.6702 | Model_Time : 30.1472 | x_y_time : 0.0052 | pred_time : 16.7203 | backward_time : 7.5820 | optim_time : 0.3433 
Epoch 00004 | Loss 0.7287 | Accuracy 0.7388 | Time : 32.8204 | Loop_Time : 2.6760 | Model_Time : 30.1439 | x_y_time : 0.0053 | pred_time : 16.7290 | backward_time : 7.5766 | optim_time : 0.3500 
Epoch 00005 | Loss 0.7273 | Accuracy 0.7384 | Time : 32.8194 | Loop_Time : 2.6837 | Model_Time : 30.1351 | x_y_time : 0.0053 | pred_time : 16.7128 | backward_time : 7.5829 | optim_time : 0.3479 
Epoch 00006 | Loss 0.7260 | Accuracy 0.7378 | Time : 32.8192 | Loop_Time : 2.6940 | Model_Time : 30.1247 | x_y_time : 0.0052 | pred_time : 16.6837 | backward_time : 7.5931 | optim_time : 0.3450 
Epoch 00007 | Loss 0.7254 | Accuracy 0.7355 | Time : 32.8252 | Loop_Time : 2.6920 | Model_Time : 30.1327 | x_y_time : 0.0053 | pred_time : 16.6931 | backward_time : 7.6014 | optim_time : 0.3464 
Epoch 00008 | Loss 0.7245 | Accuracy 0.7391 | Time : 32.8262 | Loop_Time : 2.6979 | Model_Time : 30.1278 | x_y_time : 0.0053 | pred_time : 16.6614 | backward_time : 7.6224 | optim_time : 0.3489 
Epoch 00009 | Loss 0.7233 | Accuracy 0.7394 | Time : 32.8171 | Loop_Time : 2.6927 | Model_Time : 30.1239 | x_y_time : 0.0053 | pred_time : 16.6633 | backward_time : 7.6140 | optim_time : 0.3508 
Epoch 00010 | Loss 0.7238 | Accuracy 0.7354 | Time : 32.8299 | Loop_Time : 2.6896 | Model_Time : 30.1399 | x_y_time : 0.0053 | pred_time : 16.6836 | backward_time : 7.6189 | optim_time : 0.3455 
Epoch 00011 | Loss 0.7229 | Accuracy 0.7342 | Time : 32.8236 | Loop_Time : 2.6924 | Model_Time : 30.1307 | x_y_time : 0.0052 | pred_time : 16.6790 | backward_time : 7.6182 | optim_time : 0.3457 
Epoch 00012 | Loss 0.7221 | Accuracy 0.7376 | Time : 32.7952 | Loop_Time : 2.6945 | Model_Time : 30.1003 | x_y_time : 0.0053 | pred_time : 16.6557 | backward_time : 7.6308 | optim_time : 0.3443 
Epoch 00013 | Loss 0.7226 | Accuracy 0.7391 | Time : 32.8215 | Loop_Time : 2.6974 | Model_Time : 30.1236 | x_y_time : 0.0053 | pred_time : 16.6486 | backward_time : 7.6428 | optim_time : 0.3441 
Epoch 00014 | Loss 0.7221 | Accuracy 0.7373 | Time : 32.8298 | Loop_Time : 2.7039 | Model_Time : 30.1254 | x_y_time : 0.0053 | pred_time : 16.6495 | backward_time : 7.6282 | optim_time : 0.3456 
Epoch 00015 | Loss 0.7224 | Accuracy 0.7397 | Time : 32.8243 | Loop_Time : 2.6912 | Model_Time : 30.1326 | x_y_time : 0.0054 | pred_time : 16.6501 | backward_time : 7.6337 | optim_time : 0.3467 
Epoch 00016 | Loss 0.7219 | Accuracy 0.7392 | Time : 32.8074 | Loop_Time : 2.6937 | Model_Time : 30.1132 | x_y_time : 0.0054 | pred_time : 16.6562 | backward_time : 7.6220 | optim_time : 0.3448 
Epoch 00017 | Loss 0.7214 | Accuracy 0.7364 | Time : 32.8068 | Loop_Time : 2.6953 | Model_Time : 30.1110 | x_y_time : 0.0052 | pred_time : 16.6532 | backward_time : 7.6220 | optim_time : 0.3439 
