Dataset = igb-small, batch_size = 2048
Layer_1 16327 | Layer_2 105496 | Layer_3 408838
Epoch 00000 | Loss 0.8949 | Accuracy 0.7360 | Time : 15.9920 | Loop_Time : 1.4753 | Model_Time : 14.5163 | x_y_time : 0.0085 | pred_time : 8.2861 | backward_time : 3.7370 | optim_time : 0.2583 
Epoch 00001 | Loss 0.7591 | Accuracy 0.7392 | Time : 15.1498 | Loop_Time : 1.4436 | Model_Time : 13.7058 | x_y_time : 0.0040 | pred_time : 7.4275 | backward_time : 3.7488 | optim_time : 0.2525 
Epoch 00002 | Loss 0.7454 | Accuracy 0.7416 | Time : 15.1564 | Loop_Time : 1.4404 | Model_Time : 13.7156 | x_y_time : 0.0040 | pred_time : 7.4408 | backward_time : 3.7497 | optim_time : 0.2516 
Epoch 00003 | Loss 0.7401 | Accuracy 0.7407 | Time : 15.2262 | Loop_Time : 1.4449 | Model_Time : 13.7810 | x_y_time : 0.0040 | pred_time : 7.4726 | backward_time : 3.7560 | optim_time : 0.2549 
Epoch 00004 | Loss 0.7380 | Accuracy 0.7423 | Time : 15.3214 | Loop_Time : 1.4419 | Model_Time : 13.8791 | x_y_time : 0.0040 | pred_time : 7.5245 | backward_time : 3.7653 | optim_time : 0.2536 
Epoch 00005 | Loss 0.7360 | Accuracy 0.7424 | Time : 15.3474 | Loop_Time : 1.4460 | Model_Time : 13.9010 | x_y_time : 0.0040 | pred_time : 7.5373 | backward_time : 3.7688 | optim_time : 0.2564 
Epoch 00006 | Loss 0.7335 | Accuracy 0.7420 | Time : 15.3489 | Loop_Time : 1.4464 | Model_Time : 13.9022 | x_y_time : 0.0040 | pred_time : 7.5348 | backward_time : 3.7690 | optim_time : 0.2519 
Epoch 00007 | Loss 0.7329 | Accuracy 0.7431 | Time : 15.3625 | Loop_Time : 1.4429 | Model_Time : 13.9192 | x_y_time : 0.0040 | pred_time : 7.5450 | backward_time : 3.7705 | optim_time : 0.2519 
Epoch 00008 | Loss 0.7320 | Accuracy 0.7412 | Time : 15.3295 | Loop_Time : 1.4422 | Model_Time : 13.8869 | x_y_time : 0.0040 | pred_time : 7.5282 | backward_time : 3.7673 | optim_time : 0.2552 
Epoch 00009 | Loss 0.7316 | Accuracy 0.7424 | Time : 15.3284 | Loop_Time : 1.4425 | Model_Time : 13.8855 | x_y_time : 0.0040 | pred_time : 7.5261 | backward_time : 3.7689 | optim_time : 0.2562 
Epoch 00010 | Loss 0.7317 | Accuracy 0.7424 | Time : 15.3063 | Loop_Time : 1.4415 | Model_Time : 13.8644 | x_y_time : 0.0040 | pred_time : 7.5138 | backward_time : 3.7658 | optim_time : 0.2566 
Epoch 00011 | Loss 0.7307 | Accuracy 0.7431 | Time : 15.3356 | Loop_Time : 1.4527 | Model_Time : 13.8826 | x_y_time : 0.0040 | pred_time : 7.5264 | backward_time : 3.7678 | optim_time : 0.2595 
Epoch 00012 | Loss 0.7292 | Accuracy 0.7433 | Time : 15.3295 | Loop_Time : 1.4544 | Model_Time : 13.8748 | x_y_time : 0.0040 | pred_time : 7.5204 | backward_time : 3.7684 | optim_time : 0.2557 
Epoch 00013 | Loss 0.7305 | Accuracy 0.7435 | Time : 15.3181 | Loop_Time : 1.4612 | Model_Time : 13.8565 | x_y_time : 0.0041 | pred_time : 7.5125 | backward_time : 3.7656 | optim_time : 0.2564 
Epoch 00014 | Loss 0.7291 | Accuracy 0.7417 | Time : 15.3164 | Loop_Time : 1.4600 | Model_Time : 13.8561 | x_y_time : 0.0041 | pred_time : 7.5115 | backward_time : 3.7661 | optim_time : 0.2586 
Epoch 00015 | Loss 0.7296 | Accuracy 0.7427 | Time : 15.3034 | Loop_Time : 1.4524 | Model_Time : 13.8506 | x_y_time : 0.0040 | pred_time : 7.5096 | backward_time : 3.7639 | optim_time : 0.2533 
Epoch 00016 | Loss 0.7285 | Accuracy 0.7416 | Time : 15.2978 | Loop_Time : 1.4583 | Model_Time : 13.8391 | x_y_time : 0.0040 | pred_time : 7.5072 | backward_time : 3.7569 | optim_time : 0.2526 
Epoch 00017 | Loss 0.7286 | Accuracy 0.7437 | Time : 15.2972 | Loop_Time : 1.4546 | Model_Time : 13.8422 | x_y_time : 0.0040 | pred_time : 7.5050 | backward_time : 3.7643 | optim_time : 0.2538 
Epoch 00018 | Loss 0.7282 | Accuracy 0.7440 | Time : 15.2817 | Loop_Time : 1.4565 | Model_Time : 13.8249 | x_y_time : 0.0041 | pred_time : 7.4997 | backward_time : 3.7581 | optim_time : 0.2555 
Epoch 00019 | Loss 0.7277 | Accuracy 0.7439 | Time : 15.2851 | Loop_Time : 1.4567 | Model_Time : 13.8280 | x_y_time : 0.0040 | pred_time : 7.4978 | backward_time : 3.7639 | optim_time : 0.2531 
Epoch 00020 | Loss 0.7269 | Accuracy 0.7440 | Time : 15.2756 | Loop_Time : 1.4552 | Model_Time : 13.8200 | x_y_time : 0.0040 | pred_time : 7.4904 | backward_time : 3.7647 | optim_time : 0.2589 
Epoch 00021 | Loss 0.7277 | Accuracy 0.7437 | Time : 15.2682 | Loop_Time : 1.4496 | Model_Time : 13.8182 | x_y_time : 0.0040 | pred_time : 7.4973 | backward_time : 3.7561 | optim_time : 0.2491 
Epoch 00022 | Loss 0.7278 | Accuracy 0.7419 | Time : 15.2677 | Loop_Time : 1.4501 | Model_Time : 13.8172 | x_y_time : 0.0040 | pred_time : 7.4949 | backward_time : 3.7551 | optim_time : 0.2476 
Epoch 00023 | Loss 0.7271 | Accuracy 0.7442 | Time : 15.2653 | Loop_Time : 1.4477 | Model_Time : 13.8172 | x_y_time : 0.0040 | pred_time : 7.4915 | backward_time : 3.7613 | optim_time : 0.2489 
Epoch 00024 | Loss 0.7279 | Accuracy 0.7430 | Time : 15.0648 | Loop_Time : 1.4560 | Model_Time : 13.6084 | x_y_time : 0.0040 | pred_time : 7.5094 | backward_time : 3.5143 | optim_time : 0.2469 
Epoch 00025 | Loss 0.7271 | Accuracy 0.7440 | Time : 15.1186 | Loop_Time : 1.4513 | Model_Time : 13.6669 | x_y_time : 0.0041 | pred_time : 7.5051 | backward_time : 3.5825 | optim_time : 0.2492 
Epoch 00026 | Loss 0.7278 | Accuracy 0.7429 | Time : 15.2577 | Loop_Time : 1.4479 | Model_Time : 13.8093 | x_y_time : 0.0040 | pred_time : 7.4924 | backward_time : 3.7527 | optim_time : 0.2584 
Epoch 00027 | Loss 0.7272 | Accuracy 0.7423 | Time : 15.2586 | Loop_Time : 1.4532 | Model_Time : 13.8050 | x_y_time : 0.0041 | pred_time : 7.4882 | backward_time : 3.7555 | optim_time : 0.2624 
Epoch 00028 | Loss 0.7271 | Accuracy 0.7429 | Time : 15.2562 | Loop_Time : 1.4522 | Model_Time : 13.8037 | x_y_time : 0.0040 | pred_time : 7.4866 | backward_time : 3.7569 | optim_time : 0.2616 
Epoch 00029 | Loss 0.7274 | Accuracy 0.7431 | Time : 15.2507 | Loop_Time : 1.4466 | Model_Time : 13.8038 | x_y_time : 0.0040 | pred_time : 7.4882 | backward_time : 3.7535 | optim_time : 0.2575 
Epoch 00030 | Loss 0.7275 | Accuracy 0.7436 | Time : 15.2617 | Loop_Time : 1.4490 | Model_Time : 13.8123 | x_y_time : 0.0040 | pred_time : 7.4887 | backward_time : 3.7618 | optim_time : 0.2560 
Epoch 00031 | Loss 0.7270 | Accuracy 0.7432 | Time : 15.2584 | Loop_Time : 1.4514 | Model_Time : 13.8066 | x_y_time : 0.0040 | pred_time : 7.4909 | backward_time : 3.7552 | optim_time : 0.2587 
