Dataset = igb-small, batch_size = 4096
Layer_1 44007 | Layer_2 355835 | Layer_3 852564
Epoch 00000 | Loss 0.9817 | Accuracy 0.7332 | Time : 19.6907 | Loop_Time : 1.5764 | Model_Time : 18.1141 | x_y_time : 0.0041 | pred_time : 10.4989 | backward_time : 5.0984 | optim_time : 0.1228 
Epoch 00001 | Loss 0.7726 | Accuracy 0.7382 | Time : 18.8552 | Loop_Time : 1.5628 | Model_Time : 17.2922 | x_y_time : 0.0020 | pred_time : 9.6589 | backward_time : 5.0878 | optim_time : 0.1265 
Epoch 00002 | Loss 0.7508 | Accuracy 0.7401 | Time : 18.9881 | Loop_Time : 1.5625 | Model_Time : 17.4254 | x_y_time : 0.0020 | pred_time : 9.7168 | backward_time : 5.1470 | optim_time : 0.1362 
Epoch 00003 | Loss 0.7414 | Accuracy 0.7431 | Time : 19.0722 | Loop_Time : 1.5639 | Model_Time : 17.5080 | x_y_time : 0.0020 | pred_time : 9.7476 | backward_time : 5.1803 | optim_time : 0.1309 
Epoch 00004 | Loss 0.7371 | Accuracy 0.7428 | Time : 19.1271 | Loop_Time : 1.5619 | Model_Time : 17.5650 | x_y_time : 0.0020 | pred_time : 9.7777 | backward_time : 5.1868 | optim_time : 0.1255 
Epoch 00005 | Loss 0.7330 | Accuracy 0.7451 | Time : 19.1079 | Loop_Time : 1.5589 | Model_Time : 17.5488 | x_y_time : 0.0020 | pred_time : 9.7687 | backward_time : 5.1866 | optim_time : 0.1239 
Epoch 00006 | Loss 0.7320 | Accuracy 0.7422 | Time : 19.1079 | Loop_Time : 1.5597 | Model_Time : 17.5480 | x_y_time : 0.0020 | pred_time : 9.7695 | backward_time : 5.1860 | optim_time : 0.1244 
Epoch 00007 | Loss 0.7298 | Accuracy 0.7412 | Time : 19.1011 | Loop_Time : 1.5555 | Model_Time : 17.5454 | x_y_time : 0.0020 | pred_time : 9.7646 | backward_time : 5.1836 | optim_time : 0.1247 
Epoch 00008 | Loss 0.7292 | Accuracy 0.7430 | Time : 19.0997 | Loop_Time : 1.5554 | Model_Time : 17.5441 | x_y_time : 0.0020 | pred_time : 9.7674 | backward_time : 5.1850 | optim_time : 0.1274 
Epoch 00009 | Loss 0.7275 | Accuracy 0.7453 | Time : 19.0876 | Loop_Time : 1.5585 | Model_Time : 17.5289 | x_y_time : 0.0020 | pred_time : 9.7605 | backward_time : 5.1829 | optim_time : 0.1249 
Epoch 00010 | Loss 0.7265 | Accuracy 0.7450 | Time : 19.0805 | Loop_Time : 1.5562 | Model_Time : 17.5241 | x_y_time : 0.0020 | pred_time : 9.7601 | backward_time : 5.1819 | optim_time : 0.1243 
Epoch 00011 | Loss 0.7260 | Accuracy 0.7460 | Time : 19.0753 | Loop_Time : 1.5559 | Model_Time : 17.5192 | x_y_time : 0.0020 | pred_time : 9.7579 | backward_time : 5.1818 | optim_time : 0.1272 
Epoch 00012 | Loss 0.7242 | Accuracy 0.7448 | Time : 19.0860 | Loop_Time : 1.5574 | Model_Time : 17.5284 | x_y_time : 0.0020 | pred_time : 9.7608 | backward_time : 5.1834 | optim_time : 0.1258 
Epoch 00013 | Loss 0.7245 | Accuracy 0.7438 | Time : 19.0851 | Loop_Time : 1.5566 | Model_Time : 17.5283 | x_y_time : 0.0020 | pred_time : 9.7713 | backward_time : 5.1811 | optim_time : 0.1231 
Epoch 00014 | Loss 0.7234 | Accuracy 0.7442 | Time : 19.0816 | Loop_Time : 1.5557 | Model_Time : 17.5257 | x_y_time : 0.0020 | pred_time : 9.7679 | backward_time : 5.1805 | optim_time : 0.1247 
Epoch 00015 | Loss 0.7237 | Accuracy 0.7442 | Time : 19.2034 | Loop_Time : 1.6747 | Model_Time : 17.5285 | x_y_time : 0.0020 | pred_time : 9.7781 | backward_time : 5.1779 | optim_time : 0.1255 
Epoch 00016 | Loss 0.7224 | Accuracy 0.7456 | Time : 19.0819 | Loop_Time : 1.5484 | Model_Time : 17.5333 | x_y_time : 0.0020 | pred_time : 9.7786 | backward_time : 5.1791 | optim_time : 0.1228 
Epoch 00017 | Loss 0.7233 | Accuracy 0.7458 | Time : 19.0744 | Loop_Time : 1.5516 | Model_Time : 17.5226 | x_y_time : 0.0020 | pred_time : 9.7689 | backward_time : 5.1804 | optim_time : 0.1238 
Epoch 00018 | Loss 0.7223 | Accuracy 0.7457 | Time : 19.0771 | Loop_Time : 1.5548 | Model_Time : 17.5221 | x_y_time : 0.0020 | pred_time : 9.7689 | backward_time : 5.1780 | optim_time : 0.1242 
Epoch 00019 | Loss 0.7226 | Accuracy 0.7450 | Time : 19.0803 | Loop_Time : 1.5558 | Model_Time : 17.5243 | x_y_time : 0.0020 | pred_time : 9.7603 | backward_time : 5.1816 | optim_time : 0.1227 
Epoch 00020 | Loss 0.7223 | Accuracy 0.7449 | Time : 19.0768 | Loop_Time : 1.5546 | Model_Time : 17.5220 | x_y_time : 0.0020 | pred_time : 9.7739 | backward_time : 5.1774 | optim_time : 0.1239 
Epoch 00021 | Loss 0.7212 | Accuracy 0.7441 | Time : 19.0751 | Loop_Time : 1.5576 | Model_Time : 17.5173 | x_y_time : 0.0020 | pred_time : 9.7691 | backward_time : 5.1780 | optim_time : 0.1264 
Epoch 00022 | Loss 0.7221 | Accuracy 0.7460 | Time : 19.0740 | Loop_Time : 1.5542 | Model_Time : 17.5196 | x_y_time : 0.0020 | pred_time : 9.7601 | backward_time : 5.1803 | optim_time : 0.1237 
Epoch 00023 | Loss 0.7209 | Accuracy 0.7455 | Time : 19.0792 | Loop_Time : 1.5546 | Model_Time : 17.5243 | x_y_time : 0.0020 | pred_time : 9.7742 | backward_time : 5.1783 | optim_time : 0.1282 
Epoch 00024 | Loss 0.7210 | Accuracy 0.7460 | Time : 19.0847 | Loop_Time : 1.5581 | Model_Time : 17.5264 | x_y_time : 0.0020 | pred_time : 9.7652 | backward_time : 5.1805 | optim_time : 0.1256 
Epoch 00025 | Loss 0.7207 | Accuracy 0.7452 | Time : 19.0823 | Loop_Time : 1.5623 | Model_Time : 17.5197 | x_y_time : 0.0020 | pred_time : 9.7578 | backward_time : 5.1821 | optim_time : 0.1251 
Epoch 00026 | Loss 0.7207 | Accuracy 0.7432 | Time : 19.0811 | Loop_Time : 1.5583 | Model_Time : 17.5225 | x_y_time : 0.0020 | pred_time : 9.7612 | backward_time : 5.1811 | optim_time : 0.1241 
