Dataset = ogbn-products, batch_size = 1024
Layer_1 18192 | Layer_2 88156 | Layer_3 205722
Epoch 00000 | Loss 1.1721 | Accuracy 0.8648 | Time : 4.5575 | Loop_Time : 0.9697 | Model_Time : 3.5876 | x_y_time : 0.0057 | pred_time : 2.1896 | backward_time : 1.0286 | optim_time : 0.1737 
Epoch 00001 | Loss 0.5389 | Accuracy 0.8813 | Time : 3.5592 | Loop_Time : 0.8962 | Model_Time : 2.6628 | x_y_time : 0.0027 | pred_time : 1.2589 | backward_time : 1.0382 | optim_time : 0.1704 
Epoch 00002 | Loss 0.4572 | Accuracy 0.8879 | Time : 3.5625 | Loop_Time : 0.8991 | Model_Time : 2.6631 | x_y_time : 0.0027 | pred_time : 1.2606 | backward_time : 1.0383 | optim_time : 0.1741 
Epoch 00003 | Loss 0.4190 | Accuracy 0.8875 | Time : 3.5654 | Loop_Time : 0.9010 | Model_Time : 2.6641 | x_y_time : 0.0027 | pred_time : 1.2620 | backward_time : 1.0367 | optim_time : 0.1723 
Epoch 00004 | Loss 0.4066 | Accuracy 0.8951 | Time : 3.5485 | Loop_Time : 0.8898 | Model_Time : 2.6584 | x_y_time : 0.0027 | pred_time : 1.2568 | backward_time : 1.0366 | optim_time : 0.1703 
Epoch 00005 | Loss 0.3870 | Accuracy 0.8969 | Time : 3.5587 | Loop_Time : 0.8974 | Model_Time : 2.6610 | x_y_time : 0.0027 | pred_time : 1.2596 | backward_time : 1.0358 | optim_time : 0.1701 
Epoch 00006 | Loss 0.3688 | Accuracy 0.8956 | Time : 3.5654 | Loop_Time : 0.9019 | Model_Time : 2.6633 | x_y_time : 0.0027 | pred_time : 1.2612 | backward_time : 1.0365 | optim_time : 0.1727 
Epoch 00007 | Loss 0.3594 | Accuracy 0.8972 | Time : 3.5619 | Loop_Time : 0.8993 | Model_Time : 2.6623 | x_y_time : 0.0027 | pred_time : 1.2602 | backward_time : 1.0366 | optim_time : 0.1731 
Epoch 00008 | Loss 0.3553 | Accuracy 0.9024 | Time : 3.5543 | Loop_Time : 0.8932 | Model_Time : 2.6609 | x_y_time : 0.0027 | pred_time : 1.2588 | backward_time : 1.0368 | optim_time : 0.1704 
Epoch 00009 | Loss 0.3449 | Accuracy 0.9002 | Time : 3.5598 | Loop_Time : 0.8982 | Model_Time : 2.6613 | x_y_time : 0.0027 | pred_time : 1.2595 | backward_time : 1.0368 | optim_time : 0.1721 
Epoch 00010 | Loss 0.3425 | Accuracy 0.8985 | Time : 3.5660 | Loop_Time : 0.9005 | Model_Time : 2.6653 | x_y_time : 0.0027 | pred_time : 1.2616 | backward_time : 1.0376 | optim_time : 0.1739 
Epoch 00011 | Loss 0.3457 | Accuracy 0.9005 | Time : 3.6721 | Loop_Time : 1.0093 | Model_Time : 2.6625 | x_y_time : 0.0027 | pred_time : 1.2570 | backward_time : 1.0407 | optim_time : 0.1709 
Epoch 00012 | Loss 0.3332 | Accuracy 0.9015 | Time : 3.5628 | Loop_Time : 0.8992 | Model_Time : 2.6633 | x_y_time : 0.0027 | pred_time : 1.2594 | backward_time : 1.0394 | optim_time : 0.1742 
Epoch 00013 | Loss 0.3307 | Accuracy 0.9038 | Time : 3.5587 | Loop_Time : 0.8944 | Model_Time : 2.6640 | x_y_time : 0.0027 | pred_time : 1.2579 | backward_time : 1.0402 | optim_time : 0.1722 
Epoch 00014 | Loss 0.3259 | Accuracy 0.8986 | Time : 3.5655 | Loop_Time : 0.8987 | Model_Time : 2.6666 | x_y_time : 0.0027 | pred_time : 1.2606 | backward_time : 1.0390 | optim_time : 0.1732 
Epoch 00015 | Loss 0.3396 | Accuracy 0.9008 | Time : 3.5598 | Loop_Time : 0.8930 | Model_Time : 2.6666 | x_y_time : 0.0027 | pred_time : 1.2592 | backward_time : 1.0395 | optim_time : 0.1705 
Epoch 00016 | Loss 0.3314 | Accuracy 0.9051 | Time : 3.5566 | Loop_Time : 0.8903 | Model_Time : 2.6661 | x_y_time : 0.0027 | pred_time : 1.2579 | backward_time : 1.0388 | optim_time : 0.1681 
Epoch 00017 | Loss 0.3192 | Accuracy 0.9066 | Time : 3.5532 | Loop_Time : 0.8873 | Model_Time : 2.6657 | x_y_time : 0.0027 | pred_time : 1.2567 | backward_time : 1.0391 | optim_time : 0.1708 
Epoch 00018 | Loss 0.3153 | Accuracy 0.9043 | Time : 3.5765 | Loop_Time : 0.9024 | Model_Time : 2.6738 | x_y_time : 0.0027 | pred_time : 1.2619 | backward_time : 1.0414 | optim_time : 0.1751 
Epoch 00019 | Loss 0.3189 | Accuracy 0.9065 | Time : 3.5707 | Loop_Time : 0.9000 | Model_Time : 2.6704 | x_y_time : 0.0027 | pred_time : 1.2615 | backward_time : 1.0389 | optim_time : 0.1758 
Epoch 00020 | Loss 0.3146 | Accuracy 0.9077 | Time : 3.5583 | Loop_Time : 0.8908 | Model_Time : 2.6672 | x_y_time : 0.0027 | pred_time : 1.2577 | backward_time : 1.0391 | optim_time : 0.1707 
Epoch 00021 | Loss 0.3120 | Accuracy 0.9055 | Time : 3.5600 | Loop_Time : 0.8916 | Model_Time : 2.6681 | x_y_time : 0.0027 | pred_time : 1.2576 | backward_time : 1.0401 | optim_time : 0.1701 
Epoch 00022 | Loss 0.3141 | Accuracy 0.9027 | Time : 3.5538 | Loop_Time : 0.8874 | Model_Time : 2.6662 | x_y_time : 0.0027 | pred_time : 1.2566 | backward_time : 1.0391 | optim_time : 0.1688 
Epoch 00023 | Loss 0.3164 | Accuracy 0.9032 | Time : 3.5631 | Loop_Time : 0.8934 | Model_Time : 2.6695 | x_y_time : 0.0027 | pred_time : 1.2586 | backward_time : 1.0406 | optim_time : 0.1686 
Epoch 00024 | Loss 0.3166 | Accuracy 0.9060 | Time : 3.5580 | Loop_Time : 0.8890 | Model_Time : 2.6688 | x_y_time : 0.0027 | pred_time : 1.2589 | backward_time : 1.0401 | optim_time : 0.1711 
Epoch 00025 | Loss 0.3104 | Accuracy 0.9065 | Time : 3.5586 | Loop_Time : 0.8898 | Model_Time : 2.6685 | x_y_time : 0.0027 | pred_time : 1.2573 | backward_time : 1.0412 | optim_time : 0.1696 
Epoch 00026 | Loss 0.3063 | Accuracy 0.9047 | Time : 3.5526 | Loop_Time : 0.8858 | Model_Time : 2.6665 | x_y_time : 0.0027 | pred_time : 1.2566 | backward_time : 1.0400 | optim_time : 0.1698 
Epoch 00027 | Loss 0.3110 | Accuracy 0.9037 | Time : 3.5629 | Loop_Time : 0.8937 | Model_Time : 2.6690 | x_y_time : 0.0027 | pred_time : 1.2593 | backward_time : 1.0395 | optim_time : 0.1733 
Epoch 00028 | Loss 0.3167 | Accuracy 0.9077 | Time : 3.5556 | Loop_Time : 0.8874 | Model_Time : 2.6679 | x_y_time : 0.0027 | pred_time : 1.2582 | backward_time : 1.0400 | optim_time : 0.1709 
Epoch 00029 | Loss 0.3068 | Accuracy 0.9085 | Time : 3.5476 | Loop_Time : 0.8832 | Model_Time : 2.6642 | x_y_time : 0.0027 | pred_time : 1.2553 | backward_time : 1.0389 | optim_time : 0.1691 
Epoch 00030 | Loss 0.3062 | Accuracy 0.8781 | Time : 3.5527 | Loop_Time : 0.8855 | Model_Time : 2.6670 | x_y_time : 0.0027 | pred_time : 1.2569 | backward_time : 1.0396 | optim_time : 0.1669 
Epoch 00031 | Loss 0.3161 | Accuracy 0.8962 | Time : 3.5507 | Loop_Time : 0.8851 | Model_Time : 2.6654 | x_y_time : 0.0026 | pred_time : 1.2566 | backward_time : 1.0391 | optim_time : 0.1693 
Epoch 00032 | Loss 0.3178 | Accuracy 0.9088 | Time : 3.5563 | Loop_Time : 0.8884 | Model_Time : 2.6676 | x_y_time : 0.0027 | pred_time : 1.2580 | backward_time : 1.0398 | optim_time : 0.1715 
Epoch 00033 | Loss 0.3011 | Accuracy 0.9086 | Time : 3.5748 | Loop_Time : 0.9018 | Model_Time : 2.6727 | x_y_time : 0.0027 | pred_time : 1.2632 | backward_time : 1.0405 | optim_time : 0.1758 
Epoch 00034 | Loss 0.2980 | Accuracy 0.9079 | Time : 3.5715 | Loop_Time : 0.8997 | Model_Time : 2.6715 | x_y_time : 0.0027 | pred_time : 1.2616 | backward_time : 1.0406 | optim_time : 0.1724 
