Dataset = ogbn-arxiv, batch_size = 65536
Layer_1 201371 | Layer_2 247995 | Layer_3 257415
Epoch 00000 | Loss 4.3487 | Accuracy 0.0746 | Time : 1.0051 | Loop_Time : 0.0171 | Model_Time : 0.9880 | x_y_time : 0.0001 | pred_time : 0.9639 | backward_time : 0.0177 | optim_time : 0.0026 
Epoch 00001 | Loss 3.7177 | Accuracy 0.0892 | Time : 0.0520 | Loop_Time : 0.0105 | Model_Time : 0.0415 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0175 | optim_time : 0.0016 
Epoch 00002 | Loss 3.4243 | Accuracy 0.2112 | Time : 0.0521 | Loop_Time : 0.0105 | Model_Time : 0.0416 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0178 | optim_time : 0.0018 
Epoch 00003 | Loss 3.2684 | Accuracy 0.2313 | Time : 0.0527 | Loop_Time : 0.0105 | Model_Time : 0.0422 | x_y_time : 0.0000 | pred_time : 0.0177 | backward_time : 0.0184 | optim_time : 0.0019 
Epoch 00004 | Loss 3.1677 | Accuracy 0.2397 | Time : 0.0527 | Loop_Time : 0.0104 | Model_Time : 0.0423 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0187 | optim_time : 0.0019 
Epoch 00005 | Loss 3.0773 | Accuracy 0.2464 | Time : 0.0530 | Loop_Time : 0.0103 | Model_Time : 0.0427 | x_y_time : 0.0000 | pred_time : 0.0177 | backward_time : 0.0194 | optim_time : 0.0020 
Epoch 00006 | Loss 2.9920 | Accuracy 0.2485 | Time : 0.0530 | Loop_Time : 0.0102 | Model_Time : 0.0427 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0017 
Epoch 00007 | Loss 2.9169 | Accuracy 0.2541 | Time : 0.0528 | Loop_Time : 0.0102 | Model_Time : 0.0426 | x_y_time : 0.0000 | pred_time : 0.0175 | backward_time : 0.0194 | optim_time : 0.0016 
Epoch 00008 | Loss 2.8401 | Accuracy 0.2626 | Time : 0.0531 | Loop_Time : 0.0102 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0177 | backward_time : 0.0195 | optim_time : 0.0019 
Epoch 00009 | Loss 2.7789 | Accuracy 0.2777 | Time : 0.0530 | Loop_Time : 0.0102 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0177 | backward_time : 0.0195 | optim_time : 0.0019 
Epoch 00010 | Loss 2.7203 | Accuracy 0.3054 | Time : 0.0531 | Loop_Time : 0.0101 | Model_Time : 0.0430 | x_y_time : 0.0000 | pred_time : 0.0178 | backward_time : 0.0195 | optim_time : 0.0016 
Epoch 00011 | Loss 2.6577 | Accuracy 0.3415 | Time : 0.0529 | Loop_Time : 0.0101 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0017 
Epoch 00012 | Loss 2.6101 | Accuracy 0.3670 | Time : 0.0528 | Loop_Time : 0.0101 | Model_Time : 0.0427 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0017 
Epoch 00013 | Loss 2.5619 | Accuracy 0.3831 | Time : 0.0529 | Loop_Time : 0.0100 | Model_Time : 0.0429 | x_y_time : 0.0000 | pred_time : 0.0177 | backward_time : 0.0195 | optim_time : 0.0018 
Epoch 00014 | Loss 2.5168 | Accuracy 0.3981 | Time : 0.0527 | Loop_Time : 0.0099 | Model_Time : 0.0427 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0019 
Epoch 00015 | Loss 2.4661 | Accuracy 0.4171 | Time : 0.0528 | Loop_Time : 0.0100 | Model_Time : 0.0427 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0016 
Epoch 00016 | Loss 2.4198 | Accuracy 0.4344 | Time : 0.0528 | Loop_Time : 0.0100 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0017 
Epoch 00017 | Loss 2.3805 | Accuracy 0.4433 | Time : 0.0529 | Loop_Time : 0.0101 | Model_Time : 0.0429 | x_y_time : 0.0000 | pred_time : 0.0177 | backward_time : 0.0195 | optim_time : 0.0016 
Epoch 00018 | Loss 2.3453 | Accuracy 0.4496 | Time : 0.0528 | Loop_Time : 0.0100 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0018 
Epoch 00019 | Loss 2.3088 | Accuracy 0.4585 | Time : 0.0527 | Loop_Time : 0.0100 | Model_Time : 0.0426 | x_y_time : 0.0000 | pred_time : 0.0175 | backward_time : 0.0195 | optim_time : 0.0017 
Epoch 00020 | Loss 2.2750 | Accuracy 0.4663 | Time : 0.0527 | Loop_Time : 0.0100 | Model_Time : 0.0427 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0017 
Epoch 00021 | Loss 2.2543 | Accuracy 0.4727 | Time : 0.0529 | Loop_Time : 0.0101 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0175 | backward_time : 0.0195 | optim_time : 0.0016 
Epoch 00022 | Loss 2.2104 | Accuracy 0.4810 | Time : 0.0528 | Loop_Time : 0.0101 | Model_Time : 0.0427 | x_y_time : 0.0000 | pred_time : 0.0175 | backward_time : 0.0195 | optim_time : 0.0016 
Epoch 00023 | Loss 2.1828 | Accuracy 0.4880 | Time : 0.0527 | Loop_Time : 0.0099 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0196 | optim_time : 0.0016 
Epoch 00024 | Loss 2.1552 | Accuracy 0.4927 | Time : 0.0528 | Loop_Time : 0.0100 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0020 
Epoch 00025 | Loss 2.1308 | Accuracy 0.4964 | Time : 0.0536 | Loop_Time : 0.0106 | Model_Time : 0.0429 | x_y_time : 0.0000 | pred_time : 0.0177 | backward_time : 0.0196 | optim_time : 0.0017 
Epoch 00026 | Loss 2.0939 | Accuracy 0.5035 | Time : 0.0533 | Loop_Time : 0.0104 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0017 
Epoch 00027 | Loss 2.0718 | Accuracy 0.5087 | Time : 0.0528 | Loop_Time : 0.0100 | Model_Time : 0.0427 | x_y_time : 0.0000 | pred_time : 0.0175 | backward_time : 0.0195 | optim_time : 0.0020 
Epoch 00028 | Loss 2.0512 | Accuracy 0.5128 | Time : 0.0527 | Loop_Time : 0.0099 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0017 
Epoch 00029 | Loss 2.0329 | Accuracy 0.5198 | Time : 0.0528 | Loop_Time : 0.0100 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0196 | optim_time : 0.0019 
Epoch 00030 | Loss 2.0003 | Accuracy 0.5238 | Time : 0.0530 | Loop_Time : 0.0101 | Model_Time : 0.0429 | x_y_time : 0.0000 | pred_time : 0.0177 | backward_time : 0.0196 | optim_time : 0.0017 
Epoch 00031 | Loss 1.9801 | Accuracy 0.5257 | Time : 0.0527 | Loop_Time : 0.0099 | Model_Time : 0.0427 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0017 
Epoch 00032 | Loss 1.9555 | Accuracy 0.5282 | Time : 0.0527 | Loop_Time : 0.0099 | Model_Time : 0.0427 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0017 
Epoch 00033 | Loss 1.9464 | Accuracy 0.5323 | Time : 0.0529 | Loop_Time : 0.0101 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0017 
Epoch 00034 | Loss 1.9181 | Accuracy 0.5358 | Time : 0.0533 | Loop_Time : 0.0105 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0017 
Epoch 00035 | Loss 1.8985 | Accuracy 0.5389 | Time : 0.0527 | Loop_Time : 0.0100 | Model_Time : 0.0427 | x_y_time : 0.0000 | pred_time : 0.0175 | backward_time : 0.0195 | optim_time : 0.0017 
Epoch 00036 | Loss 1.8820 | Accuracy 0.5419 | Time : 0.0529 | Loop_Time : 0.0100 | Model_Time : 0.0429 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0196 | optim_time : 0.0018 
Epoch 00037 | Loss 1.8604 | Accuracy 0.5435 | Time : 0.0528 | Loop_Time : 0.0099 | Model_Time : 0.0429 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0197 | optim_time : 0.0019 
Epoch 00038 | Loss 1.8484 | Accuracy 0.5459 | Time : 0.0532 | Loop_Time : 0.0103 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0196 | optim_time : 0.0016 
Epoch 00039 | Loss 1.8336 | Accuracy 0.5492 | Time : 0.0527 | Loop_Time : 0.0099 | Model_Time : 0.0427 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0016 
Epoch 00040 | Loss 1.8118 | Accuracy 0.5502 | Time : 0.0528 | Loop_Time : 0.0099 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0018 
Epoch 00041 | Loss 1.8030 | Accuracy 0.5523 | Time : 0.0532 | Loop_Time : 0.0103 | Model_Time : 0.0429 | x_y_time : 0.0000 | pred_time : 0.0177 | backward_time : 0.0196 | optim_time : 0.0017 
Epoch 00042 | Loss 1.7931 | Accuracy 0.5541 | Time : 0.0528 | Loop_Time : 0.0101 | Model_Time : 0.0427 | x_y_time : 0.0000 | pred_time : 0.0175 | backward_time : 0.0196 | optim_time : 0.0020 
Epoch 00043 | Loss 1.7804 | Accuracy 0.5567 | Time : 0.0529 | Loop_Time : 0.0100 | Model_Time : 0.0429 | x_y_time : 0.0000 | pred_time : 0.0177 | backward_time : 0.0195 | optim_time : 0.0019 
Epoch 00044 | Loss 1.7666 | Accuracy 0.5581 | Time : 0.0529 | Loop_Time : 0.0100 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0016 
Epoch 00045 | Loss 1.7554 | Accuracy 0.5593 | Time : 0.0533 | Loop_Time : 0.0101 | Model_Time : 0.0432 | x_y_time : 0.0000 | pred_time : 0.0178 | backward_time : 0.0196 | optim_time : 0.0017 
Epoch 00046 | Loss 1.7362 | Accuracy 0.5609 | Time : 0.0527 | Loop_Time : 0.0099 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0195 | optim_time : 0.0016 
Epoch 00047 | Loss 1.7299 | Accuracy 0.5633 | Time : 0.0527 | Loop_Time : 0.0099 | Model_Time : 0.0427 | x_y_time : 0.0000 | pred_time : 0.0175 | backward_time : 0.0195 | optim_time : 0.0018 
Epoch 00048 | Loss 1.7252 | Accuracy 0.5639 | Time : 0.0528 | Loop_Time : 0.0099 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0196 | optim_time : 0.0019 
Epoch 00049 | Loss 1.7152 | Accuracy 0.5632 | Time : 0.0529 | Loop_Time : 0.0100 | Model_Time : 0.0428 | x_y_time : 0.0000 | pred_time : 0.0176 | backward_time : 0.0196 | optim_time : 0.0016 
