Dataset = igb-small, batch_size = 2048
Layer_1 22424 | Layer_2 216183 | Layer_3 744229
Epoch 00000 | Loss 0.8878 | Accuracy 0.7369 | Time : 28.8846 | Loop_Time : 2.2560 | Model_Time : 26.6283 | x_y_time : 0.0078 | pred_time : 15.2928 | backward_time : 6.8236 | optim_time : 0.2447 
Epoch 00001 | Loss 0.7554 | Accuracy 0.7419 | Time : 28.2490 | Loop_Time : 2.2404 | Model_Time : 26.0082 | x_y_time : 0.0038 | pred_time : 14.5495 | backward_time : 6.8813 | optim_time : 0.2491 
Epoch 00002 | Loss 0.7434 | Accuracy 0.7424 | Time : 28.5468 | Loop_Time : 2.2509 | Model_Time : 26.2955 | x_y_time : 0.0038 | pred_time : 14.7223 | backward_time : 6.9242 | optim_time : 0.2510 
Epoch 00003 | Loss 0.7389 | Accuracy 0.7423 | Time : 28.5598 | Loop_Time : 2.2488 | Model_Time : 26.3106 | x_y_time : 0.0038 | pred_time : 14.7271 | backward_time : 6.9291 | optim_time : 0.2434 
Epoch 00004 | Loss 0.7352 | Accuracy 0.7429 | Time : 28.5501 | Loop_Time : 2.2439 | Model_Time : 26.3059 | x_y_time : 0.0038 | pred_time : 14.7149 | backward_time : 6.9230 | optim_time : 0.2417 
Epoch 00005 | Loss 0.7337 | Accuracy 0.7424 | Time : 28.4776 | Loop_Time : 2.2441 | Model_Time : 26.2331 | x_y_time : 0.0039 | pred_time : 14.6851 | backward_time : 6.9105 | optim_time : 0.2426 
Epoch 00006 | Loss 0.7325 | Accuracy 0.7427 | Time : 28.5777 | Loop_Time : 2.3638 | Model_Time : 26.2135 | x_y_time : 0.0039 | pred_time : 14.6705 | backward_time : 6.9101 | optim_time : 0.2439 
Epoch 00007 | Loss 0.7315 | Accuracy 0.7425 | Time : 28.4119 | Loop_Time : 2.2407 | Model_Time : 26.1709 | x_y_time : 0.0039 | pred_time : 14.6490 | backward_time : 6.9022 | optim_time : 0.2415 
Epoch 00008 | Loss 0.7305 | Accuracy 0.7430 | Time : 28.4983 | Loop_Time : 2.2418 | Model_Time : 26.2561 | x_y_time : 0.0039 | pred_time : 14.6883 | backward_time : 6.9138 | optim_time : 0.2440 
Epoch 00009 | Loss 0.7294 | Accuracy 0.7437 | Time : 28.4252 | Loop_Time : 2.2410 | Model_Time : 26.1838 | x_y_time : 0.0039 | pred_time : 14.6551 | backward_time : 6.9007 | optim_time : 0.2436 
Epoch 00010 | Loss 0.7297 | Accuracy 0.7430 | Time : 28.3939 | Loop_Time : 2.2405 | Model_Time : 26.1531 | x_y_time : 0.0038 | pred_time : 14.6399 | backward_time : 6.9000 | optim_time : 0.2489 
Epoch 00011 | Loss 0.7290 | Accuracy 0.7443 | Time : 28.3683 | Loop_Time : 2.2455 | Model_Time : 26.1225 | x_y_time : 0.0039 | pred_time : 14.6269 | backward_time : 6.8957 | optim_time : 0.2523 
Epoch 00012 | Loss 0.7284 | Accuracy 0.7436 | Time : 28.4504 | Loop_Time : 2.2407 | Model_Time : 26.2093 | x_y_time : 0.0038 | pred_time : 14.6617 | backward_time : 6.9055 | optim_time : 0.2474 
Epoch 00013 | Loss 0.7281 | Accuracy 0.7442 | Time : 28.3996 | Loop_Time : 2.2441 | Model_Time : 26.1552 | x_y_time : 0.0039 | pred_time : 14.6381 | backward_time : 6.9000 | optim_time : 0.2440 
Epoch 00014 | Loss 0.7273 | Accuracy 0.7430 | Time : 28.3811 | Loop_Time : 2.2429 | Model_Time : 26.1378 | x_y_time : 0.0039 | pred_time : 14.6315 | backward_time : 6.8973 | optim_time : 0.2457 
Epoch 00015 | Loss 0.7278 | Accuracy 0.7426 | Time : 28.4239 | Loop_Time : 2.2409 | Model_Time : 26.1826 | x_y_time : 0.0038 | pred_time : 14.6480 | backward_time : 6.9029 | optim_time : 0.2457 
Epoch 00016 | Loss 0.7269 | Accuracy 0.7427 | Time : 28.4141 | Loop_Time : 2.2468 | Model_Time : 26.1669 | x_y_time : 0.0039 | pred_time : 14.6491 | backward_time : 6.8997 | optim_time : 0.2462 
Epoch 00017 | Loss 0.7267 | Accuracy 0.7430 | Time : 28.3953 | Loop_Time : 2.2410 | Model_Time : 26.1540 | x_y_time : 0.0039 | pred_time : 14.6409 | backward_time : 6.9005 | optim_time : 0.2449 
